t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,618.4,0.0,245.0,66169,1164983,0,3030.1,2149.0,14.0,14.0
0.7,618.4,0.0,245.0,66169,1164983,0,3078.5,2213.4,80.0,80.0
1.3,618.4,0.0,247.3,66333,1164983,0,3141.3,2325.1,191.0,191.0
2.0,610.4,-8.0,249.7,66509,1164983,0,5492.4,2367.4,4409.0,4409.0
3.0,610.4,-8.0,236.2,66521,1164983,0,4819.8,2252.7,10254.0,10254.0
4.0,610.4,-8.0,639.7,66521,1164983,0,1460.9,645.1,13326.0,13326.0
4.8,610.4,-8.0,646.2,66781,1164983,0,1427.5,645.7,13326.0,13326.0
5.6,602.4,-16.0,655.5,67043,1164983,0,1398.4,672.7,13326.0,13326.0
6.4,602.4,-16.0,658.2,67051,1164983,0,1359.7,698.7,13326.0,13326.0
7.2,602.4,-16.0,656.2,67055,1164983,0,1351.2,713.5,13326.0,13326.0
7.9,602.4,-16.0,655.7,67063,1164983,0,1339.9,752.1,13326.0,13326.0
8.7,602.4,-16.0,656.6,67082,1164983,0,1329.2,748.4,13326.0,13326.0
9.5,602.4,-16.0,657.1,67086,1164983,0,1318.1,743.4,13326.0,13326.0
10.3,602.4,-16.0,661.7,67086,1164983,0,1296.6,758.7,13326.0,13326.0
11.1,602.4,-16.0,663.2,67090,1164983,0,1285.9,785.7,13326.0,13326.0
11.9,602.4,-16.0,665.7,67094,1164983,0,1280.9,788.8,13326.0,13326.0
12.7,602.4,-16.0,671.6,67221,1164983,0,1272.1,801.8,13326.0,13326.0
13.4,602.4,-16.0,678.2,67289,1164983,0,1265.1,814.1,13326.0,13326.0
14.0,602.4,-16.0,582.0,67289,1164983,0,1148.5,1388.2,14.0,14.0
