t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,594.4,0.0,459.4,67968,1164983,0,2164.1,1447.5,14.0,14.0
0.7,594.4,0.0,459.3,67968,1164983,0,2226.0,1528.3,78.0,79.0
1.3,594.4,0.0,459.3,67968,1164983,0,2307.0,1633.8,172.0,172.0
2.0,594.4,0.0,459.2,67976,1164983,0,3682.3,1677.2,3490.0,3490.0
3.0,594.4,0.0,459.3,67984,1164983,0,6632.7,1651.8,9249.0,9249.0
4.0,586.4,-8.0,730.2,67996,1164983,0,1452.2,555.0,13326.0,13326.0
4.8,586.4,-8.0,730.6,68004,1164983,0,1426.8,575.6,13326.0,13326.0
5.6,586.4,-8.0,731.3,68004,1164983,0,1414.8,604.9,13326.0,13326.0
6.3,586.4,-8.0,732.3,68004,1164983,0,1415.8,587.6,13326.0,13326.0
7.2,586.4,-8.0,788.9,68004,1164983,0,577.9,563.1,14350.0,14350.0
8.0,586.4,-8.0,869.0,68004,1164983,0,533.1,459.5,14350.0,14350.0
8.9,586.4,-8.0,881.7,68004,1164983,0,529.4,446.8,14350.0,14350.0
9.7,586.4,-8.0,877.9,68008,1164983,0,524.1,445.9,14350.0,14350.0
10.5,615.1,20.7,908.2,68028,1166819,1836,307.0,514.0,14349.0,14350.0
11.3,664.7,70.2,798.4,68028,1169991,5008,299.5,377.0,13325.0,14350.0
12.0,664.7,70.2,780.5,68052,1169991,5008,367.9,799.5,13325.0,14350.0
12.8,664.7,70.2,770.7,68060,1169991,5008,489.8,823.5,13325.0,14350.0
13.5,664.7,70.2,768.8,68060,1169991,5008,553.4,840.0,13325.0,14350.0
14.3,664.7,70.2,763.8,68060,1169991,5008,567.7,863.7,13325.0,14350.0
15.1,664.7,70.2,752.9,68060,1169991,5008,589.9,925.4,13325.0,14350.0
15.8,664.7,70.2,751.7,68060,1169991,5008,595.0,967.8,13325.0,14350.0
16.6,664.7,70.2,740.4,68060,1169991,5008,623.3,993.6,13325.0,14350.0
17.4,664.7,70.2,734.5,68060,1169991,5008,654.2,1001.1,13325.0,14350.0
18.1,664.7,70.2,733.9,68060,1169991,5008,659.7,1017.3,13325.0,14350.0
18.9,664.7,70.2,731.8,68063,1169991,5008,662.7,1036.3,13325.0,14350.0
19.6,664.7,70.2,733.4,68394,1169991,5008,694.2,1075.0,13325.0,14350.0
20.4,656.7,62.2,729.4,68582,1169991,5008,744.5,1109.0,13325.0,14350.0
