t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,640.6,0.0,419.0,69772,1169991,0,1909.2,1453.7,14.0,14.0
0.7,640.6,0.0,418.9,69772,1169991,0,1964.2,1534.8,79.0,79.0
1.3,640.6,0.0,418.9,69772,1169991,0,2037.7,1617.8,165.0,165.0
2.0,640.6,0.0,418.7,69772,1169991,0,3039.8,1675.0,3048.0,3048.0
2.8,640.6,0.0,418.7,69772,1169991,0,7308.9,1675.3,7691.0,7691.0
4.0,640.6,0.0,511.4,69772,1169991,0,2288.2,1326.0,13326.0,13326.0
4.8,640.6,0.0,648.8,69840,1169991,0,1387.8,678.5,13326.0,13326.0
5.6,640.6,0.0,651.8,69840,1169991,0,1369.3,709.8,13326.0,13326.0
6.4,640.6,0.0,658.3,69840,1169991,0,1364.8,700.8,13326.0,13326.0
7.1,640.6,0.0,688.4,69840,1169991,0,1024.1,582.4,13326.0,13326.0
7.9,640.6,0.0,677.3,69840,1169991,0,974.9,636.5,13326.0,13326.0
8.7,640.6,0.0,675.0,69840,1169991,0,948.4,672.8,13326.0,13326.0
9.5,640.6,0.0,673.9,69840,1169991,0,948.9,677.6,13326.0,13326.0
10.3,640.6,0.0,669.3,69840,1169991,0,923.1,684.0,13326.0,13326.0
11.1,640.6,0.0,667.9,69840,1169991,0,924.3,693.6,13326.0,13326.0
11.9,640.6,0.0,666.0,69840,1169991,0,911.0,697.4,13326.0,13326.0
12.7,640.6,0.0,663.9,69840,1169991,0,894.6,710.4,13326.0,13326.0
13.5,640.6,0.0,662.8,69840,1169991,0,904.4,722.1,13326.0,13326.0
14.3,640.6,0.0,673.5,69884,1169991,0,882.0,741.3,13326.0,13326.0
15.1,640.6,0.0,673.5,69888,1169991,0,868.9,735.0,13326.0,13326.0
15.9,640.6,0.0,673.3,69896,1169991,0,867.1,746.2,13326.0,13326.0
16.7,640.6,0.0,671.2,69896,1169991,0,861.9,753.2,13326.0,13326.0
