t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,624.6,0.0,462.6,70547,1169991,0,1641.3,1262.6,14.0,14.0
0.7,624.6,0.0,462.4,70547,1169991,0,1699.3,1346.4,81.0,83.0
1.3,624.6,0.0,462.4,70547,1169991,0,1742.1,1481.2,209.0,209.0
2.0,624.6,0.0,462.0,70547,1169991,0,5001.1,1495.6,5289.0,5289.0
3.0,624.6,0.0,462.0,70551,1169991,0,4496.3,1462.9,11278.0,11278.0
3.8,624.6,0.0,702.6,70563,1169991,0,1453.6,573.8,13326.0,13326.0
4.6,624.6,0.0,696.9,70563,1169991,0,1427.2,602.8,13326.0,13326.0
5.4,624.6,0.0,701.5,70563,1169991,0,1415.3,625.1,13326.0,13326.0
6.2,624.6,0.0,700.4,70563,1169991,0,1401.4,623.6,13326.0,13326.0
7.2,648.4,23.8,1043.1,70571,1171511,1520,291.4,443.3,14350.0,14350.0
8.1,1184.4,559.8,993.3,70843,1205815,35824,203.5,383.1,15374.0,15374.0
9.0,1209.9,585.3,123.8,71835,1207963,37972,273.0,749.9,14350.0,15374.0
9.8,1201.9,577.3,123.7,72459,1207963,37972,293.4,879.1,14350.0,15374.0
10.6,1193.9,569.3,126.4,73019,1207963,37972,361.5,1048.8,14350.0,15374.0
11.5,1177.9,553.3,134.4,73431,1207963,37972,309.1,702.2,14350.0,15374.0
12.3,1177.9,553.3,137.1,73699,1207963,37972,261.0,674.5,14350.0,15374.0
13.1,1169.9,545.3,133.6,73835,1207963,37972,322.8,1083.1,14350.0,15374.0
14.0,1169.9,545.3,134.3,74079,1207963,37972,318.9,903.5,14350.0,15374.0
14.8,1169.9,545.3,144.6,74171,1207963,37972,262.9,983.2,14350.0,15374.0
15.7,1161.9,537.3,141.3,74555,1207963,37972,336.3,1160.8,15374.0,15374.0
16.5,1161.9,537.3,153.9,74655,1207963,37972,279.2,908.0,14350.0,15374.0
17.4,1153.9,529.3,299.0,75071,1207963,37972,279.5,1264.7,15374.0,15374.0
18.2,1153.9,529.3,160.2,75207,1207963,37972,315.9,769.3,14350.0,15374.0
19.0,1145.9,521.3,177.7,75295,1207963,37972,281.9,995.4,14350.0,15374.0
19.9,1145.9,521.3,169.4,75499,1207963,37972,291.7,1060.2,14350.0,15374.0
20.7,1137.9,513.3,185.8,75959,1207963,37972,348.7,869.6,14350.0,15374.0
21.6,1137.9,513.3,752.5,76187,1207963,37972,283.0,653.5,15374.0,15374.0
22.4,1137.9,513.3,191.4,76255,1207963,37972,316.3,842.0,14350.0,15374.0
23.3,1137.9,513.3,193.3,76283,1207963,37972,289.6,863.5,14350.0,15374.0
24.1,1137.9,513.3,680.8,76339,1207963,37972,310.5,911.3,15374.0,15374.0
24.9,1137.9,513.3,214.9,76363,1207963,37972,323.2,717.5,14350.0,15374.0
