t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,1082.6,0.0,148.4,143514,1271499,0,1217.2,1210.4,14.0,14.0
0.7,1082.6,0.0,148.3,143518,1271499,0,1284.5,1303.0,77.0,78.0
1.3,1074.6,-8.0,148.4,143649,1271499,0,1372.7,1431.2,181.0,181.0
2.1,1074.6,-8.0,149.9,143993,1271499,0,3651.0,1516.7,4407.0,4407.0
3.1,1074.6,-8.0,153.5,144028,1271499,0,6162.6,1360.5,10254.0,10254.0
3.9,1074.6,-8.0,360.9,144052,1271499,0,1681.4,709.9,13326.0,13326.0
4.7,1066.6,-16.0,338.1,144207,1271499,0,1632.4,798.2,13326.0,13326.0
5.5,1066.6,-16.0,335.6,144215,1271499,0,1615.1,819.8,13326.0,13326.0
6.2,1066.6,-16.0,309.0,144490,1271499,0,1602.4,851.4,13326.0,13326.0
7.1,1066.6,-16.0,501.4,144606,1271499,0,522.9,696.6,14350.0,14350.0
8.0,1166.8,84.2,1043.5,144774,1278423,6924,318.1,411.6,15374.0,15374.0
8.8,1176.9,94.4,335.5,145134,1279587,8088,361.1,700.4,14350.0,15374.0
9.6,1224.9,142.3,276.4,145286,1283167,11668,268.6,569.0,14350.0,15374.0
10.5,1224.9,142.3,268.6,145478,1283167,11668,275.5,1111.4,14350.0,15374.0
11.3,1224.9,142.3,270.2,145682,1283167,11668,316.2,1015.1,14350.0,15374.0
12.3,1224.9,142.3,423.6,145766,1283167,11668,321.8,1284.0,15374.0,15374.0
13.1,1234.9,152.3,247.7,146575,1284831,13332,356.8,962.3,14350.0,15374.0
14.0,1253.1,170.6,618.6,146925,1285999,14500,271.5,942.8,14350.0,15374.0
14.8,1245.1,162.6,253.0,147211,1285999,14500,369.3,1100.9,14350.0,15374.0
15.7,1364.6,282.0,236.5,147671,1294155,22656,311.3,853.2,14350.0,15374.0
16.6,1364.6,282.0,209.0,148003,1294155,22656,313.5,1177.8,15374.0,15374.0
17.4,1416.3,333.8,254.7,149715,1299515,28016,275.8,744.3,14350.0,15374.0
18.3,1554.9,472.3,842.9,151342,1309919,38420,246.7,656.4,14350.0,15374.0
19.1,1514.9,432.3,301.9,153500,1309919,38420,273.2,890.4,14350.0,15374.0
20.0,1610.3,527.8,598.9,155212,1317563,46064,269.3,925.0,15374.0,15374.0
20.8,1594.3,511.8,265.7,156431,1317563,46064,274.7,972.1,14350.0,15374.0
21.6,1638.1,555.5,304.8,162179,1325995,54496,245.2,1145.8,14350.0,15374.0
22.5,1598.1,515.5,291.9,164647,1325995,54496,258.4,1151.5,14350.0,15374.0
23.4,1758.6,676.0,255.6,165712,1337291,65792,253.6,916.4,14350.0,15374.0
24.2,1710.6,628.0,213.2,168688,1337291,65792,258.0,988.6,14350.0,15374.0
25.0,1788.1,705.6,228.3,170994,1344303,72804,269.9,575.8,14350.0,15374.0
25.8,1740.1,657.6,227.7,173970,1344303,72804,323.0,1065.8,14350.0,15374.0
26.8,1700.1,617.6,633.7,176046,1344303,72804,312.7,1011.2,15374.0,15374.0
27.6,1728.8,646.2,258.7,178818,1348183,76684,299.4,1067.6,14350.0,15374.0
28.5,1664.8,582.2,247.1,182554,1348183,76684,324.2,1027.3,14350.0,15374.0
29.4,1710.0,627.4,1165.9,183746,1352103,80604,271.7,470.1,15374.0,15374.0
30.2,1745.8,663.2,249.4,185866,1356955,85456,265.4,957.4,14350.0,15374.0
31.1,1697.8,615.2,241.8,189042,1356955,85456,270.9,1221.2,14350.0,15374.0
31.9,1743.4,660.8,254.1,191742,1362431,90932,251.4,957.8,14350.0,15374.0
32.8,1695.4,612.8,236.4,194730,1362431,90932,253.5,1100.2,14350.0,15374.0
33.6,1763.6,681.0,950.5,195816,1367819,96320,260.7,643.3,15374.0,15374.0
34.5,1715.6,633.0,258.6,198972,1367819,96320,289.2,1020.8,14350.0,15374.0
35.3,1675.6,593.0,340.5,201460,1367819,96320,304.7,1076.8,14350.0,15374.0
36.2,1742.6,660.0,259.4,202992,1373643,102144,275.4,760.0,14350.0,15374.0
37.0,1694.6,612.0,251.1,206088,1373643,102144,304.4,1020.1,14350.0,15374.0
37.9,1742.2,659.6,1182.7,206668,1377203,105704,273.5,635.6,15374.0,15374.0
38.7,1745.1,662.5,228.2,208812,1379435,107936,273.0,1075.1,14350.0,15374.0
39.6,1689.1,606.5,229.0,212287,1379435,107936,289.9,1060.0,14350.0,15374.0
40.4,1713.4,630.9,353.2,214092,1383043,111544,262.0,780.0,14350.0,15374.0
41.2,1697.4,614.9,245.6,215276,1383043,111544,264.3,1068.0,14350.0,15374.0
42.2,1697.4,614.9,830.5,215400,1383043,111544,264.5,873.5,15374.0,15374.0
43.0,1709.4,626.9,360.2,217008,1385859,114360,266.6,916.6,14350.0,15374.0
43.8,1709.4,626.9,213.2,217232,1385859,114360,274.2,903.8,14350.0,15374.0
44.6,1741.4,658.9,276.5,218902,1389443,117944,261.1,958.6,14350.0,15374.0
45.5,1725.4,642.9,205.7,220074,1389443,117944,262.0,1115.4,14350.0,15374.0
46.3,1763.4,680.8,278.7,220716,1392895,121396,251.1,1044.6,14350.0,15374.0
47.2,1723.3,640.8,240.1,223765,1392895,121396,263.5,1136.7,14350.0,15374.0
48.1,1699.2,616.7,982.0,224846,1392895,121396,259.0,691.1,15374.0,15374.0
49.0,1733.0,650.4,259.8,228990,1398639,127140,257.1,997.8,14350.0,15374.0
49.8,1685.0,602.4,199.3,231332,1398639,127140,258.4,1409.1,14350.0,15374.0
50.6,1713.8,631.2,336.5,233031,1401503,130004,260.3,673.4,14350.0,15374.0
51.5,1681.8,599.2,259.2,234423,1401503,130004,317.5,1037.8,14350.0,15374.0
