t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,671.5,0.0,236.9,1027647,2193595,0,1171.8,1285.6,14.0,14.0
0.7,671.5,0.0,236.7,1027647,2193595,0,1233.7,1455.0,79.0,79.0
1.3,671.5,0.0,239.4,1027885,2193595,0,1321.8,1536.8,176.0,176.0
2.0,671.5,0.0,239.4,1027885,2193595,0,2894.3,1530.4,3873.0,3873.0
3.0,663.5,-8.0,240.2,1027981,2193595,0,6757.9,1373.5,9249.0,9249.0
3.9,663.5,-8.0,459.0,1028197,2193595,0,1612.3,637.0,13326.0,13326.0
4.7,663.5,-8.0,452.5,1028211,2193595,0,1576.0,710.8,13326.0,13326.0
5.4,663.5,-8.0,461.4,1028282,2193595,0,1536.5,702.5,13326.0,13326.0
6.2,663.5,-8.0,459.2,1028282,2193595,0,1442.6,663.1,13326.0,13326.0
7.1,663.5,-8.0,558.2,1028282,2193595,0,659.5,612.8,14350.0,14350.0
7.9,663.5,-8.0,644.1,1028290,2193595,0,584.2,600.6,14350.0,14350.0
8.8,663.5,-8.0,666.0,1028310,2193595,0,613.7,494.6,14350.0,14350.0
9.5,663.5,-8.0,667.2,1028318,2193595,0,660.3,478.9,14350.0,14350.0
10.3,663.5,-8.0,710.3,1028381,2193595,0,344.3,298.0,14350.0,14350.0
11.2,655.5,-16.0,1053.6,1028519,2193595,0,303.1,519.9,14350.0,15374.0
12.0,724.4,52.9,650.8,1028527,2198003,4408,283.5,706.2,15374.0,15374.0
12.7,811.6,140.1,543.2,1028627,2203583,9988,248.4,543.4,14350.0,15374.0
13.5,811.6,140.1,711.8,1028731,2203583,9988,283.7,696.1,15374.0,15374.0
14.3,811.6,140.1,515.2,1028891,2203583,9988,293.9,953.6,15374.0,15374.0
15.1,803.6,132.1,510.3,1029347,2203583,9988,300.5,708.7,15374.0,15374.0
15.8,857.1,185.6,698.3,1029517,2207011,13416,284.0,561.8,14350.0,15374.0
16.6,849.1,177.6,438.8,1029569,2207011,13416,314.5,840.9,15374.0,15374.0
17.4,849.1,177.6,447.1,1029593,2207011,13416,308.8,739.6,14350.0,15374.0
18.2,849.1,177.6,437.9,1029669,2207011,13416,356.1,760.8,14350.0,15374.0
18.9,849.1,177.6,431.9,1029701,2207011,13416,316.2,696.3,14350.0,15374.0
19.7,849.1,177.6,456.9,1029749,2207011,13416,322.2,773.6,14350.0,15374.0
20.5,849.1,177.6,744.8,1029833,2207011,13416,345.4,652.2,15374.0,15374.0
21.3,849.1,177.6,482.4,1029865,2207011,13416,304.3,644.4,14350.0,15374.0
22.1,925.3,253.8,644.3,1030005,2211887,18292,294.6,664.7,15374.0,15374.0
22.8,917.3,245.8,380.3,1030184,2211887,18292,333.4,803.2,15374.0,15374.0
23.6,917.3,245.8,369.6,1030566,2211887,18292,347.5,784.4,14350.0,15374.0
24.4,909.3,237.8,1141.0,1031074,2211887,18292,351.9,506.3,15374.0,15374.0
25.2,909.3,237.8,389.4,1031138,2211887,18292,348.8,831.8,14350.0,15374.0
26.0,901.3,229.8,404.2,1031310,2211887,18292,359.4,751.4,14350.0,15374.0
