t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.0,574.6,0.0,304.1,1072370,2232455,0,1434.5,1673.8,14.0,14.0
0.6,574.6,0.0,304.1,1072374,2232455,0,1484.7,1755.0,80.0,80.0
1.3,574.6,0.0,304.7,1072446,2232455,0,1563.8,1852.2,178.0,178.0
1.9,574.6,0.0,304.7,1072450,2232455,0,3235.9,1909.9,3968.0,3968.0
2.9,574.6,0.0,309.4,1072454,2232455,0,6357.0,1534.8,9250.0,9250.0
3.9,574.6,0.0,615.0,1072503,2232455,0,1532.2,563.1,13326.0,13326.0
4.6,574.6,0.0,563.2,1072506,2232455,0,1451.4,689.2,13326.0,13326.0
5.4,574.6,0.0,565.2,1072506,2232455,0,1448.7,701.3,13326.0,13326.0
6.2,574.6,0.0,564.7,1072506,2232455,0,1444.0,724.3,13326.0,13326.0
7.3,566.5,-8.1,725.5,1072870,2232455,0,312.5,222.2,14350.0,14350.0
8.2,566.5,-8.1,740.0,1073056,2232455,0,310.9,220.0,14350.0,14350.0
9.3,717.8,143.2,595.4,1073072,2242135,9680,174.0,152.9,15374.0,15374.0
10.3,845.6,271.0,468.8,1073972,2251339,18884,138.9,173.1,15374.0,15374.0
11.2,856.2,281.6,449.6,1074119,2252019,19564,130.9,218.0,15374.0,15374.0
12.2,848.2,273.6,424.2,1074375,2252019,19564,183.2,308.9,15374.0,15374.0
13.1,860.0,285.4,424.2,1074395,2252775,20320,174.7,239.5,15374.0,15374.0
14.0,867.9,293.3,409.4,1074862,2253279,20824,196.3,217.7,15374.0,15374.0
14.8,866.8,292.2,407.8,1074930,2253723,21268,148.7,244.6,15374.0,15374.0
15.6,862.8,288.2,411.8,1075524,2253975,21520,183.3,203.8,15374.0,15374.0
16.4,870.7,296.1,372.3,1075620,2254483,22028,163.0,293.5,15374.0,15374.0
17.3,870.7,296.1,392.2,1075690,2254483,22028,198.1,255.5,15374.0,15374.0
18.2,880.8,306.2,426.7,1075817,2255127,22672,172.4,152.8,15374.0,15374.0
19.0,882.3,307.8,432.8,1075857,2255227,22772,145.5,133.4,15374.0,15374.0
19.8,874.3,299.8,419.7,1075961,2255227,22772,171.9,172.6,15374.0,15374.0
20.7,874.3,299.8,423.0,1076077,2255227,22772,154.3,186.1,15374.0,15374.0
21.5,874.3,299.8,382.7,1076109,2255227,22772,165.8,258.5,15374.0,15374.0
22.4,869.8,295.2,363.2,1076505,2255447,22992,209.6,323.1,15374.0,15374.0
23.2,884.1,309.6,417.9,1076545,2256367,23912,170.2,166.2,15374.0,15374.0
24.0,884.1,309.6,413.6,1076585,2256367,23912,166.5,180.4,15374.0,15374.0
24.9,884.1,309.6,432.3,1076912,2256367,23912,157.0,145.1,15374.0,15374.0
25.7,884.1,309.6,415.4,1076944,2256367,23912,174.6,169.2,15374.0,15374.0
