t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.1,491.4,0.0,296.4,1137649,2301103,0,2055.5,1715.7,14.0,14.0
0.7,491.4,0.0,296.2,1137649,2301103,0,2112.6,1798.0,79.0,79.0
1.3,491.4,0.0,296.2,1137649,2301103,0,2194.4,1887.2,173.0,173.0
2.0,491.4,0.0,296.2,1137649,2301103,0,3678.7,1943.9,3730.0,3730.0
3.8,491.4,0.0,305.1,1137649,2301103,0,5141.7,1732.4,13326.0,13326.0
4.5,491.4,0.0,578.2,1137713,2301103,0,1589.1,688.0,13326.0,13326.0
5.3,491.4,0.0,582.6,1137717,2301103,0,1589.7,682.4,13326.0,13326.0
6.1,491.4,0.0,585.5,1137725,2301103,0,1585.3,675.7,13326.0,13326.0
7.0,483.4,-8.0,680.2,1137745,2301103,0,410.1,321.9,14350.0,14350.0
7.9,483.4,-8.0,691.6,1137745,2301103,0,416.4,304.1,14350.0,14350.0
8.8,483.4,-8.0,673.6,1137752,2301103,0,371.9,365.0,14350.0,14350.0
9.6,565.6,74.2,594.4,1137768,2306367,5264,219.4,306.6,15374.0,15374.0
10.4,565.6,74.2,596.0,1137844,2306367,5264,236.1,318.2,14350.0,15374.0
11.3,565.6,74.2,616.4,1137871,2306367,5264,196.1,279.2,14350.0,15374.0
12.1,569.8,78.4,646.8,1137883,2306631,5528,226.6,223.0,15374.0,15374.0
12.9,573.8,82.4,595.3,1137883,2306891,5788,194.2,323.1,14350.0,15374.0
13.8,579.5,88.1,605.1,1137903,2307255,6152,213.7,285.2,15374.0,15374.0
14.6,579.5,88.1,601.0,1137907,2307255,6152,190.5,292.2,14350.0,15374.0
15.4,579.5,88.1,580.9,1137915,2307255,6152,198.5,351.5,14350.0,15374.0
16.2,579.5,88.1,593.7,1137919,2307255,6152,213.8,322.7,14350.0,15374.0
17.1,579.5,88.1,602.1,1137939,2307255,6152,217.4,299.9,14350.0,15374.0
17.9,579.5,88.1,589.1,1137963,2307255,6152,229.4,332.6,15374.0,15374.0
18.7,579.5,88.1,593.0,1137975,2307255,6152,216.7,300.8,14350.0,15374.0
19.5,579.5,88.1,588.2,1137987,2307255,6152,218.3,348.7,15374.0,15374.0
20.3,579.5,88.1,586.7,1138003,2307255,6152,234.2,334.9,14350.0,15374.0
21.2,579.5,88.1,613.7,1138015,2307255,6152,249.2,272.1,14350.0,15374.0
22.0,571.5,80.1,599.7,1138568,2307255,6152,233.6,342.9,14350.0,15374.0
22.9,571.5,80.1,634.8,1138616,2307255,6152,207.0,233.7,14350.0,15374.0
23.7,571.5,80.1,612.0,1138620,2307255,6152,227.0,294.2,15374.0,15374.0
24.5,572.4,81.0,597.4,1138620,2307311,6208,184.4,342.5,14350.0,15374.0
25.3,572.4,81.0,601.8,1138624,2307311,6208,218.6,330.9,15374.0,15374.0
26.2,572.4,81.0,619.6,1138628,2307311,6208,206.8,297.0,14350.0,15374.0
27.0,572.4,81.0,617.5,1138654,2307311,6208,195.4,306.2,14350.0,15374.0
27.8,572.4,81.0,601.0,1138658,2307311,6208,195.4,336.4,15374.0,15374.0
28.6,564.4,73.0,620.6,1138758,2307311,6208,206.5,290.9,14350.0,15374.0
29.5,564.4,73.0,602.2,1138819,2307311,6208,198.4,321.4,15374.0,15374.0
30.3,564.4,73.0,612.1,1138966,2307311,6208,248.7,356.8,14350.0,15374.0
31.1,564.4,73.0,623.5,1139079,2307311,6208,227.9,328.8,14350.0,15374.0
32.0,564.4,73.0,601.2,1139139,2307311,6208,253.1,367.9,15374.0,15374.0
32.8,564.4,73.0,620.8,1139217,2307311,6208,213.3,304.6,14350.0,15374.0
33.6,556.4,65.0,608.3,1139288,2307311,6208,206.2,342.5,15374.0,15374.0
34.5,556.4,65.0,612.6,1139292,2307311,6208,234.4,345.7,14350.0,15374.0
35.3,556.4,65.0,628.1,1139304,2307311,6208,235.6,306.9,14350.0,15374.0
36.1,556.4,65.0,613.4,1139314,2307311,6208,253.2,344.4,14350.0,15374.0
36.9,556.4,65.0,617.4,1139314,2307311,6208,200.0,322.0,14350.0,15374.0
37.7,556.4,65.0,617.3,1139318,2307311,6208,217.1,334.8,15374.0,15374.0
38.6,556.4,65.0,623.4,1139322,2307311,6208,202.9,296.9,15374.0,15374.0
39.4,556.4,65.0,609.9,1139330,2307311,6208,203.9,351.2,15374.0,15374.0
40.3,556.4,65.0,599.4,1139381,2307311,6208,242.3,392.5,14350.0,15374.0
41.3,556.4,65.0,641.2,1139610,2307311,6208,220.3,318.8,14350.0,15374.0
42.1,556.4,65.0,609.5,1139626,2307311,6208,215.5,351.1,15374.0,15374.0
42.9,556.4,65.0,630.9,1139630,2307311,6208,234.8,292.8,14350.0,15374.0
43.8,556.4,65.0,624.3,1139642,2307311,6208,218.5,311.0,14350.0,15374.0
44.6,556.4,65.0,615.4,1139650,2307311,6208,205.4,353.4,15374.0,15374.0
45.4,556.4,65.0,630.1,1139658,2307311,6208,195.4,306.6,14350.0,15374.0
46.2,556.4,65.0,617.2,1139662,2307311,6208,211.5,362.3,15374.0,15374.0
47.0,556.4,65.0,620.0,1139666,2307311,6208,199.0,330.5,14350.0,15374.0
47.9,556.4,65.0,624.4,1139674,2307311,6208,204.8,312.3,15374.0,15374.0
48.7,556.4,65.0,616.7,1139678,2307311,6208,202.6,330.1,14350.0,15374.0
49.5,556.4,65.0,620.9,1139694,2307311,6208,213.5,321.0,14350.0,15374.0
