t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb,child_peak_footprint_mb
0.0,516.3,0.0,285.8,1142014,2307311,0,1478.3,1539.9,15.0,15.0
0.7,516.3,0.0,285.8,1142018,2307311,0,1538.1,1623.2,81.0,81.0
1.3,516.3,0.0,285.7,1142018,2307311,0,1613.2,1748.4,194.0,194.0
2.0,516.3,0.0,285.6,1142022,2307311,0,4078.2,1803.5,4790.0,4790.0
3.0,516.3,0.0,292.3,1142172,2307311,0,5541.1,1548.4,10255.0,10255.0
3.8,516.3,0.0,571.4,1142220,2307311,0,1626.0,586.9,13327.0,13327.0
4.6,516.3,0.0,553.3,1142240,2307311,0,1532.5,675.7,13327.0,13327.0
5.4,516.3,0.0,552.0,1142244,2307311,0,1522.8,714.4,13327.0,13327.0
6.2,516.3,0.0,554.8,1142247,2307311,0,1523.3,714.9,13327.0,13327.0
7.2,516.3,0.0,690.9,1142251,2307311,0,405.5,251.3,14351.0,14351.0
8.1,516.3,0.0,660.1,1142263,2307311,0,354.9,325.0,14351.0,14351.0
9.0,575.2,58.9,643.6,1142271,2311079,3768,220.8,186.9,14351.0,15375.0
9.9,577.2,60.9,586.1,1142283,2311207,3896,213.5,327.2,15375.0,15375.0
10.7,578.2,61.9,606.3,1142291,2311275,3964,192.7,280.0,14350.0,15375.0
11.6,580.1,63.8,577.2,1142307,2311391,4080,204.8,311.3,15374.0,15375.0
12.4,572.1,55.8,593.9,1142331,2311391,4080,194.2,265.5,14350.0,15375.0
13.3,572.1,55.8,601.4,1142347,2311391,4080,195.3,255.2,14350.0,15375.0
14.1,572.1,55.8,590.8,1142351,2311391,4080,213.2,321.7,15374.0,15375.0
15.0,572.1,55.8,621.4,1142367,2311391,4080,192.5,230.5,14350.0,15375.0
16.0,574.1,57.8,607.9,1142375,2311519,4208,178.8,254.2,14350.0,15375.0
16.8,575.1,58.8,592.8,1142431,2311583,4272,201.6,291.9,15374.0,15375.0
17.9,575.1,58.8,594.7,1142569,2311583,4272,201.3,280.8,14350.0,15375.0
18.7,575.1,58.8,586.0,1142581,2311583,4272,241.5,302.7,14350.0,15375.0
19.6,575.9,59.6,612.6,1142589,2311639,4328,184.5,234.2,14350.0,15375.0
20.4,577.8,61.5,576.2,1142657,2311759,4448,222.0,327.3,15374.0,15375.0
21.3,578.8,62.5,585.5,1142669,2311823,4512,216.2,301.3,14350.0,15375.0
22.3,578.8,62.5,605.9,1142761,2311823,4512,215.1,267.3,14350.0,15375.0
23.1,572.1,55.8,616.4,1142942,2311903,4592,194.7,259.2,15374.0,15375.0
24.0,574.4,58.1,622.6,1143147,2312051,4740,193.9,241.7,15374.0,15375.0
24.9,589.9,73.6,579.0,1143233,2313047,5736,205.0,275.3,14350.0,15375.0
25.9,581.9,65.6,563.6,1143430,2313047,5736,242.2,349.3,15374.0,15375.0
26.9,558.8,42.5,613.5,1145064,2313103,5792,237.6,310.1,15374.0,15375.0
28.2,565.6,49.3,606.9,1145143,2313539,6228,224.9,317.1,14350.0,15375.0
29.2,573.2,56.9,608.0,1145290,2313867,6556,208.4,306.6,14350.0,15375.0
30.1,582.2,65.9,590.2,1145346,2314603,7292,227.9,325.0,15374.0,15375.0
31.2,562.2,45.9,627.3,1146427,2314859,7548,231.0,287.4,15374.0,15375.0
32.3,574.1,57.8,634.5,1147087,2316131,8820,236.7,241.0,15374.0,15375.0
33.5,576.8,60.5,617.8,1147213,2316303,8992,224.3,303.3,14350.0,15375.0
34.5,579.8,63.4,608.2,1147292,2316491,9180,200.9,300.6,15374.0,15375.0
35.4,576.0,59.7,598.3,1147427,2316763,9452,231.8,323.4,15374.0,15375.0
36.5,583.2,66.9,603.4,1147626,2317227,9916,242.6,303.7,15374.0,15375.0
38.6,577.0,60.7,597.3,1148330,2317339,10028,234.3,320.9,15374.0,15375.0
40.0,590.3,74.0,622.1,1148593,2318703,11392,198.1,248.4,14350.0,15375.0
41.2,592.4,76.1,595.3,1148639,2318835,11524,233.3,341.0,14350.0,15375.0
42.6,595.2,78.9,634.9,1148825,2319015,11704,203.4,244.1,14350.0,15375.0
44.6,592.1,75.8,601.3,1148976,2319327,12016,212.6,315.1,14350.0,15375.0
46.8,593.9,77.6,608.0,1149465,2319959,12648,212.9,318.0,15374.0,15375.0
48.5,644.9,128.6,577.1,1149831,2323219,15908,223.6,320.7,15374.0,15375.0
50.9,659.5,143.2,597.5,1150680,2325179,17868,207.8,266.2,15374.0,15375.0
53.2,659.1,142.8,644.1,1152303,2326299,18988,221.7,193.3,14350.0,15375.0
59.6,663.2,146.9,619.4,1153116,2327975,20664,170.3,236.6,15374.0,15375.0
63.2,679.6,163.3,647.8,1153623,2329467,22156,212.1,199.9,14350.0,15375.0
65.3,694.0,177.7,611.1,1154241,2330971,23660,227.2,274.8,14350.0,15375.0
68.1,713.1,196.8,620.2,1154680,2332707,25396,201.6,207.7,15374.0,15375.0
70.5,705.4,189.1,639.5,1156570,2334259,26948,261.9,205.5,15374.0,15375.0
72.0,641.9,125.6,637.8,1162409,2335831,28520,264.1,396.5,0.0,0.0
