t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,579.8,0.0,386.6,1176306,2346195,0,1390.2,1244.9,14.4
0.5,579.8,0.0,386.6,1176306,2346195,0,1428.7,1361.4,117.9
1.1,579.8,0.0,386.5,1176306,2346195,0,1705.2,1483.4,1753.2
1.6,579.8,0.0,386.5,1176306,2346195,0,5163.6,1506.8,5544.1
2.2,579.8,0.0,390.3,1176306,2346195,0,5435.7,1411.8,9698.1
2.8,579.8,0.0,511.7,1176306,2346195,0,1756.1,939.8,13593.7
3.4,579.8,0.0,619.3,1176357,2346195,0,1401.7,631.8,13856.4
3.9,579.8,0.0,615.5,1176357,2346195,0,1397.1,637.4,13856.4
4.4,579.8,0.0,612.9,1176365,2346195,0,1350.2,658.7,13856.5
4.9,579.8,0.0,621.3,1176365,2346195,0,1366.9,653.6,13856.5
5.5,579.8,0.0,624.3,1176365,2346195,0,1352.9,671.3,13856.5
6.1,580.8,1.0,735.7,1176377,2346259,64,228.7,244.4,15308.3
6.6,596.8,17.1,736.5,1176393,2347287,1092,240.4,223.0,15308.4
7.1,603.3,23.6,703.3,1176397,2347703,1508,249.0,252.7,15308.6
7.7,604.3,24.6,750.5,1176401,2347767,1572,275.6,190.1,15308.6
8.2,762.2,182.4,576.2,1176473,2358383,12188,150.8,130.4,14403.1
8.8,908.7,328.9,398.7,1176740,2367759,21564,185.2,205.7,15701.6
9.3,900.6,320.9,381.6,1177124,2367759,21564,163.1,257.4,15896.4
9.9,925.5,345.8,378.3,1177292,2369351,23156,185.6,228.7,15790.6
10.5,929.5,349.8,396.1,1177536,2370119,23924,165.7,164.7,15831.3
11.0,929.5,349.8,361.0,1177699,2370119,23924,153.5,228.3,15789.8
11.5,929.0,349.2,388.5,1178027,2370599,24404,162.7,190.3,15655.1
12.1,929.0,349.2,388.1,1178055,2370599,24404,150.2,161.5,15714.2
12.6,935.1,355.4,391.4,1178243,2370991,24796,167.4,162.7,15700.8
13.1,935.1,355.4,354.8,1178295,2370991,24796,168.6,248.6,15714.2
13.7,927.1,347.4,398.4,1178502,2370991,24796,205.2,180.3,15700.8
14.2,927.1,347.4,355.2,1178590,2370991,24796,167.4,257.4,15714.2
14.7,927.1,347.4,398.0,1178657,2370991,24796,200.6,199.6,15700.8
15.3,945.4,365.7,413.3,1178693,2371011,24816,132.9,149.4,15895.6
15.8,945.4,365.7,382.9,1178919,2372163,25968,253.2,210.6,15789.6
16.4,941.2,361.5,407.1,1179041,2372407,26212,147.2,145.4,15831.1
16.9,941.2,361.5,376.9,1179085,2372407,26212,163.4,219.7,15789.6
17.4,941.2,361.5,385.7,1179233,2372407,26212,148.2,189.2,15831.1
18.0,941.2,361.5,382.4,1179261,2372407,26212,152.8,195.1,15789.6
18.5,941.2,361.5,393.1,1179361,2372407,26212,129.6,190.9,15654.8
19.0,941.2,361.5,364.4,1179393,2372407,26212,160.4,266.0,15714.2
19.6,951.1,371.3,383.9,1179798,2373547,27352,203.5,183.7,15700.8
20.1,951.1,371.3,336.8,1179834,2373547,27352,198.9,262.3,15714.2
20.7,943.0,363.2,374.7,1180102,2373547,27352,153.4,226.3,15701.0
21.2,943.0,363.2,326.5,1180114,2373547,27352,168.2,313.3,15714.3
21.7,943.0,363.2,378.7,1180238,2373547,27352,242.7,203.7,15701.0
22.3,943.0,363.2,370.1,1180450,2373547,27352,179.7,292.1,15895.6
22.8,935.0,355.2,388.8,1180654,2373547,27352,217.8,223.8,15789.7
23.4,935.0,355.2,411.8,1180678,2373547,27352,122.7,147.4,15831.2
23.9,935.0,355.2,404.0,1180718,2373547,27352,164.8,163.4,15789.7
24.4,944.5,364.8,394.7,1180850,2374155,27960,128.1,177.1,15831.0
25.0,936.5,356.8,388.7,1181166,2374155,27960,165.1,210.5,15714.1
25.5,956.3,376.6,376.4,1181246,2375423,29228,212.8,205.3,15700.9
26.1,956.3,376.6,353.1,1181305,2375423,29228,177.7,230.1,15714.3
26.6,958.2,378.4,371.1,1181440,2375543,29348,254.9,217.8,15700.9
27.2,958.2,378.4,334.5,1181496,2375543,29348,198.4,275.1,15714.3
27.7,950.2,370.4,368.5,1181784,2375543,29348,242.9,238.1,15700.9
28.3,942.2,362.4,408.4,1182136,2375543,29348,120.9,194.6,15895.7
28.8,942.2,362.4,391.9,1182300,2375543,29348,162.8,198.0,15789.8
29.3,955.8,376.1,405.4,1182344,2376415,30220,130.2,164.3,15831.3
29.9,955.8,376.1,388.0,1182424,2376415,30220,181.4,187.8,15789.8
30.4,950.8,371.1,384.2,1182692,2376607,30412,175.6,210.5,15831.3
30.9,950.8,371.1,387.8,1182792,2376607,30412,162.4,196.3,15789.6
31.5,950.8,371.1,405.8,1182872,2376607,30412,149.4,258.0,15654.8
32.0,942.8,363.1,406.6,1183344,2376607,30412,169.6,172.7,15714.4
32.6,946.9,367.1,394.2,1184011,2377379,31184,168.8,204.1,15701.0
33.1,930.9,351.1,385.2,1184726,2377379,31184,167.9,235.5,15714.1
