t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,228.4,0.0,364.6,1252856,2414570,0,8441.7,4142.6,14.1
0.5,228.4,0.0,364.6,1252856,2414570,0,8494.3,4260.4,82.3
1.0,228.4,0.0,364.6,1252856,2414570,0,8545.2,4358.0,192.2
1.6,228.4,0.0,364.6,1252856,2414570,0,8070.6,4487.5,3704.4
2.1,228.4,0.0,364.6,1252856,2414570,0,8051.8,4352.6,3717.7
2.6,228.4,0.0,364.6,1252856,2414570,0,8418.4,4459.3,3529.6
3.1,228.4,0.0,364.6,1252856,2414570,0,8240.7,5163.8,3542.1
3.6,228.4,0.0,364.6,1252856,2414570,0,8594.4,5373.1,3449.1
4.2,228.4,0.0,366.5,1252856,2414570,0,8285.2,5122.4,3541.6
4.7,228.4,0.0,366.5,1252856,2414570,0,8736.9,5353.3,3258.8
5.2,228.4,0.0,366.5,1252856,2414570,0,8289.7,5147.1,3541.8
5.7,228.4,0.0,366.5,1252856,2414570,0,8588.0,5334.7,3529.2
6.3,228.4,0.0,366.5,1252856,2414570,0,8290.0,5125.5,3541.9
6.8,228.4,0.0,366.5,1252856,2414570,0,8751.6,5445.3,3234.2
7.3,228.4,0.0,366.6,1252856,2414570,0,8292.5,5127.9,3542.3
7.8,228.4,0.0,366.6,1252856,2414570,0,8753.9,5333.7,3296.4
8.3,228.4,0.0,366.5,1252856,2414570,0,8288.8,5124.5,3542.8
8.9,228.4,0.0,366.5,1252856,2414570,0,8741.8,5515.1,2964.2
9.4,228.4,0.0,366.6,1252856,2414570,0,8290.1,5133.4,3542.8
9.9,228.4,0.0,366.6,1252856,2414570,0,8751.3,5437.3,3056.6
10.4,228.4,0.0,366.6,1252856,2414570,0,8284.4,5114.6,3542.4
10.9,228.4,0.0,366.6,1252856,2414570,0,8746.1,5531.1,2741.4
11.5,228.4,0.0,366.5,1252856,2414570,0,8387.3,5023.6,3542.3
12.0,228.4,0.0,366.5,1252856,2414570,0,8849.0,5426.7,2862.4
12.5,228.4,0.0,366.5,1252856,2414570,0,8379.1,5032.9,3542.4
13.0,228.4,0.0,366.5,1252856,2414570,0,8829.4,5445.5,2848.3
13.5,228.4,0.0,366.5,1252856,2414570,0,8391.9,5038.1,3542.4
14.1,228.4,0.0,366.5,1252856,2414570,0,8845.7,5441.0,2879.3
14.6,228.4,0.0,366.5,1252856,2414570,0,8384.2,5040.0,3542.5
15.1,228.4,0.0,366.5,1252856,2414570,0,8846.1,5439.1,2951.9
15.6,228.4,0.0,366.5,1252860,2414570,0,8378.5,5042.3,3542.6
16.1,228.4,0.0,366.5,1252860,2414570,0,8840.1,5405.3,2964.2
16.6,228.4,0.0,366.5,1252860,2414570,0,8380.0,5082.7,3542.7
17.2,228.4,0.0,366.5,1252860,2414570,0,8841.5,5406.8,3099.0
17.7,228.4,0.0,366.5,1252860,2414570,0,8383.3,5045.2,3542.8
18.2,228.4,0.0,366.5,1252860,2414570,0,8844.5,5367.0,3073.7
18.7,228.4,0.0,366.5,1252860,2414570,0,8316.6,5024.2,3542.8
19.3,228.4,0.0,366.3,1252864,2414570,0,8659.8,5373.3,2051.4
19.8,228.4,0.0,366.3,1252864,2414570,0,8309.9,5030.0,3542.8
