t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,651.9,0.0,86.4,1352411,2614066,0,2646.0,1987.8,14.0
1.0,643.9,-8.0,88.8,1352571,2614066,0,2731.9,2210.3,210.1
2.0,643.9,-8.0,88.6,1352579,2614066,0,2751.9,2217.2,226.0
3.1,643.9,-8.0,88.6,1352595,2614066,0,2752.0,2228.3,226.1
4.1,643.9,-8.0,88.7,1352603,2614066,0,3229.7,2235.7,2139.7
5.1,643.9,-8.0,88.7,1352607,2614066,0,6149.0,2236.1,2139.9
6.1,643.9,-8.0,89.0,1352623,2614066,0,9096.9,2243.6,2140.0
7.1,643.9,-8.0,88.6,1352647,2614066,0,11670.4,2223.6,2140.0
8.2,643.9,-8.0,80.1,1352647,2614066,0,12180.4,2212.6,1084.4
9.2,643.9,-8.0,80.2,1352663,2614066,0,12366.7,2214.1,1707.8
10.3,643.9,-8.0,81.1,1352783,2614066,0,12270.3,2288.1,1707.4
11.3,643.9,-8.0,120.3,1352803,2614066,0,12471.4,2169.8,1707.6
12.4,643.9,-8.0,121.7,1352823,2614066,0,12237.0,2122.5,2139.9
13.4,643.9,-8.0,121.3,1352843,2614066,0,12131.5,2158.9,2140.1
