t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,635.9,0.0,123.9,1353357,2614066,0,11441.0,1943.9,14.3
0.5,635.9,0.0,124.3,1353385,2614066,0,11493.9,2016.2,83.2
1.0,635.9,0.0,124.3,1353389,2614066,0,11539.5,2134.1,198.6
1.6,635.9,0.0,124.3,1353389,2614066,0,10539.6,2183.7,3713.9
2.1,635.9,0.0,124.3,1353389,2614066,0,10539.7,2162.1,3713.9
2.6,635.9,0.0,124.3,1353389,2614066,0,10715.1,2160.6,3538.5
3.1,635.9,0.0,124.4,1353397,2614066,0,10715.1,2986.1,3538.5
3.6,635.9,0.0,124.4,1353397,2614066,0,10714.4,2970.0,3538.0
4.2,635.9,0.0,124.3,1353397,2614066,0,10714.4,2968.1,3538.0
4.7,635.9,0.0,124.3,1353397,2614066,0,10721.9,2982.1,3538.1
5.2,635.9,0.0,124.3,1353397,2614066,0,10711.9,2981.4,3538.1
5.7,635.9,0.0,124.3,1353397,2614066,0,10714.3,2967.9,3538.1
6.2,635.9,0.0,124.3,1353397,2614066,0,10714.4,2983.5,3538.1
6.8,635.9,0.0,124.2,1353397,2614066,0,10723.2,3086.3,3538.2
7.3,635.9,0.0,124.2,1353397,2614066,0,10711.8,2984.1,3538.2
7.8,635.9,0.0,124.2,1353397,2614066,0,10721.6,3075.1,3525.6
8.3,635.9,0.0,124.2,1353397,2614066,0,10702.5,2969.8,3538.2
8.8,635.9,0.0,124.4,1353413,2614066,0,10731.6,3078.2,3525.6
9.3,635.9,0.0,124.2,1353417,2614066,0,10711.9,2989.1,3538.2
9.9,635.9,0.0,124.2,1353417,2614066,0,10722.5,3108.5,3525.6
10.4,635.9,0.0,124.2,1353417,2614066,0,10722.5,2985.5,3537.7
10.9,635.9,0.0,124.2,1353417,2614066,0,10723.3,3078.5,3525.2
11.4,635.9,0.0,124.2,1353417,2614066,0,10708.4,2972.5,3537.7
11.9,635.9,0.0,124.2,1353417,2614066,0,10868.5,3078.4,3525.4
12.5,635.9,0.0,124.2,1353417,2614066,0,10707.4,2988.3,3538.0
13.0,635.9,0.0,124.3,1353421,2614066,0,11168.8,3308.5,3048.7
13.5,635.9,0.0,124.3,1353421,2614066,0,10713.1,2972.7,3538.1
14.0,635.9,0.0,124.3,1353421,2614066,0,11174.4,3369.3,2934.9
14.5,635.9,0.0,124.5,1353445,2614066,0,10710.1,2972.1,3538.1
15.0,635.9,0.0,124.5,1353445,2614066,0,11171.5,3388.9,2623.1
15.6,635.9,0.0,124.5,1353445,2614066,0,10720.8,2972.2,3538.1
16.1,635.9,0.0,124.2,1353449,2614066,0,11173.9,3380.9,2289.8
16.6,635.9,0.0,124.2,1353449,2614066,0,10721.4,2968.7,3538.1
17.1,635.9,0.0,124.2,1353449,2614066,0,11172.1,3419.6,2021.0
17.6,635.9,0.0,124.6,1353481,2614066,0,10720.5,2988.3,3538.2
18.2,635.9,0.0,124.6,1353481,2614066,0,11116.2,3381.9,1802.0
18.7,635.9,0.0,124.6,1353481,2614066,0,10713.3,2972.7,3538.1
19.2,635.9,0.0,124.6,1353481,2614066,0,11035.7,3296.1,2006.3
19.7,635.9,0.0,124.6,1353481,2614066,0,10721.6,3009.6,3538.2
20.2,635.9,0.0,124.6,1353481,2614066,0,11027.5,3335.0,1993.1
20.8,635.9,0.0,124.6,1353481,2614066,0,10715.3,2991.1,3538.1
21.3,635.9,0.0,124.6,1353481,2614066,0,10956.0,3406.0,1926.5
21.8,635.9,0.0,124.6,1353481,2614066,0,10690.4,2993.6,3538.2
22.3,635.9,0.0,124.6,1353481,2614066,0,10814.6,3178.6,2087.8
22.8,635.9,0.0,124.6,1353481,2614066,0,10723.4,2970.7,3538.1
23.4,635.9,0.0,124.6,1353481,2614066,0,10835.7,3156.5,2270.3
23.9,635.9,0.0,124.6,1353485,2614066,0,10729.0,2970.6,3538.3
24.4,635.9,0.0,124.6,1353485,2614066,0,10755.2,3098.6,2798.7
24.9,635.9,0.0,124.6,1353485,2614066,0,10728.2,3022.9,3538.3
25.4,635.9,0.0,124.6,1353485,2614066,0,10728.5,3023.0,3280.8
25.9,635.9,0.0,124.5,1353485,2614066,0,10729.5,2986.0,3538.3
26.5,635.9,0.0,124.5,1353485,2614066,0,10730.5,2985.2,3538.3
27.0,635.9,0.0,124.5,1353485,2614066,0,10724.8,2970.2,3538.3
27.5,635.9,0.0,124.5,1353485,2614066,0,10721.7,2969.7,3538.3
28.0,635.9,0.0,124.5,1353485,2614066,0,10725.0,2970.5,3538.3
28.5,635.9,0.0,124.5,1353485,2614066,0,10725.0,2988.8,3538.3
29.1,635.9,0.0,124.5,1353485,2614066,0,10727.8,2970.5,3538.3
29.6,635.9,0.0,124.5,1353485,2614066,0,10719.3,2964.0,3538.3
30.1,635.9,0.0,124.5,1353485,2614066,0,10728.9,2981.3,3538.3
30.6,635.9,0.0,124.6,1353493,2614066,0,10719.0,2982.5,3538.3
