t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,499.9,0.0,366.4,1361842,2614066,0,2154.8,1935.4,14.1
1.0,499.9,0.0,366.0,1361850,2614066,0,2207.4,2145.9,223.5
2.0,499.9,0.0,365.9,1361850,2614066,0,3376.0,2139.1,3717.8
3.1,499.9,0.0,365.8,1361850,2614066,0,3837.3,2932.6,3542.3
4.1,499.9,0.0,365.2,1361852,2614066,0,4299.2,2933.5,3541.8
5.1,499.9,0.0,365.2,1361856,2614066,0,4760.6,2905.1,3542.1
6.1,499.9,0.0,365.2,1361856,2614066,0,5222.1,2922.6,3542.2
7.1,499.9,0.0,365.1,1361856,2614066,0,5683.4,2919.1,3542.1
8.1,499.9,0.0,364.7,1361856,2614066,0,6144.8,2933.5,3542.3
9.2,499.9,0.0,364.7,1361856,2614066,0,6606.1,2904.3,3542.3
10.2,499.9,0.0,364.7,1361856,2614066,0,7067.5,2903.0,3541.9
11.2,499.9,0.0,364.4,1361860,2614066,0,7528.9,2919.5,3542.0
12.2,499.9,0.0,363.5,1361860,2614066,0,7990.2,2904.7,3542.0
13.2,499.9,0.0,363.4,1361860,2614066,0,8451.6,3101.4,3542.0
14.2,499.9,0.0,363.1,1361860,2614066,0,8913.1,3089.3,3542.0
15.3,499.9,0.0,363.0,1361860,2614066,0,9374.4,3091.8,3542.0
16.3,499.9,0.0,363.0,1361860,2614066,0,9835.7,3094.8,3542.1
17.3,499.9,0.0,362.9,1361860,2614066,0,10297.1,3096.6,3542.1
18.3,499.9,0.0,362.9,1361860,2614066,0,10681.5,3032.8,3542.1
19.3,499.9,0.0,363.0,1361868,2614066,0,10692.7,3016.5,3542.1
20.4,499.9,0.0,363.0,1361868,2614066,0,10682.2,3022.2,3542.3
21.4,499.9,0.0,363.0,1361868,2614066,0,10715.9,2973.2,3542.3
22.4,499.9,0.0,363.0,1361868,2614066,0,10715.4,2987.8,3542.2
23.4,499.9,0.0,385.2,1361868,2614066,0,10729.6,2760.2,3542.3
24.4,499.9,0.0,385.2,1361868,2614066,0,10735.3,2795.3,3542.2
