t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,507.9,0.0,307.4,1361745,2614066,0,2219.4,2132.8,14.2
0.5,507.9,0.0,307.3,1361745,2614066,0,2220.2,2277.2,155.4
1.0,507.9,0.0,307.4,1361749,2614066,0,3484.7,3628.4,1564.5
1.6,507.9,0.0,307.4,1361749,2614066,0,6909.6,7055.0,4994.0
2.1,507.9,0.0,1615.7,1361749,2614066,0,6410.8,8388.1,8270.5
2.7,507.9,0.0,1344.4,1361749,2614066,0,2283.4,1987.0,12076.2
3.2,507.9,0.0,488.2,1361749,2614066,0,1953.0,1606.4,4596.2
3.7,507.9,0.0,427.6,1361749,2614066,0,1994.0,4589.2,4658.2
4.2,507.9,0.0,425.4,1361753,2614066,0,2016.9,6435.7,4699.9
4.7,507.9,0.0,417.8,1361769,2614066,0,2130.4,3179.9,4969.7
