t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,443.8,0.0,291.8,1365655,2614066,0,10383.1,2775.6,14.3
0.5,443.8,0.0,291.8,1365655,2614066,0,10414.2,2938.2,178.1
1.0,443.8,0.0,291.8,1365655,2614066,0,10986.3,3575.1,866.2
1.6,443.8,0.0,291.7,1365655,2614066,0,12670.6,3065.1,481.8
2.1,443.8,0.0,291.7,1365655,2614066,0,12768.8,2990.1,399.7
2.6,443.8,0.0,291.7,1365655,2614066,0,12773.8,2991.1,620.8
3.2,443.8,0.0,291.7,1365655,2614066,0,12762.3,3025.7,620.9
3.7,443.8,0.0,291.6,1365655,2614066,0,12835.5,3185.9,621.1
4.2,443.8,0.0,291.6,1365655,2614066,0,12768.1,2990.9,418.8
4.7,443.8,0.0,291.6,1365655,2614066,0,12846.3,3165.3,621.3
5.3,443.8,0.0,291.6,1365655,2614066,0,12832.1,3152.2,621.6
