t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,307.8,0.0,348.9,1374721,2614066,0,5248.9,4177.9,14.7
2.0,307.8,0.0,348.9,1374721,2614066,0,5404.3,4712.4,411.9
4.1,307.8,0.0,348.9,1374721,2614066,0,7793.0,4613.0,3887.6
6.1,307.8,0.0,396.0,1374721,2614066,0,8418.0,4914.9,3710.3
8.1,307.8,0.0,423.2,1374721,2614066,0,8661.1,4694.5,3710.4
10.1,307.8,0.0,423.2,1374721,2614066,0,8630.3,4662.2,3710.0
12.1,307.8,0.0,423.2,1374721,2614066,0,8613.4,4654.2,3710.0
14.2,307.8,0.0,423.2,1374721,2614066,0,8603.7,4692.8,3710.1
16.2,307.8,0.0,423.1,1374721,2614066,0,9005.6,4981.2,3401.9
18.2,307.8,0.0,423.1,1374721,2614066,0,8916.1,5045.7,2244.3
20.2,307.8,0.0,423.1,1374721,2614066,0,8684.0,4917.6,2236.6
22.3,286.8,-21.0,422.9,1374802,2614122,56,8546.4,4644.7,3710.5
24.3,286.8,-21.0,422.4,1374810,2614122,56,8525.2,4712.7,3710.6
26.3,286.8,-21.0,422.5,1374814,2614122,56,8547.3,4770.7,3710.6
28.3,286.8,-21.0,422.4,1374818,2614122,56,8560.9,4756.1,3710.9
30.4,286.8,-21.0,422.4,1374818,2614122,56,8553.6,4796.9,3711.0
32.4,286.8,-21.0,422.4,1374818,2614122,56,8556.4,4797.8,3711.0
34.4,286.8,-21.0,422.8,1374818,2614122,56,8564.6,4815.5,3713.8
36.4,286.8,-21.0,422.8,1374818,2614122,56,8575.3,4781.7,3713.3
38.4,286.8,-21.0,422.7,1374818,2614122,56,8570.4,4778.9,3713.4
40.5,286.8,-21.0,422.7,1374818,2614122,56,8599.7,4753.9,3713.4
42.5,286.8,-21.0,422.7,1374818,2614122,56,8605.9,4756.5,3713.4
44.5,286.8,-21.0,422.7,1374818,2614122,56,8624.5,4723.7,3713.4
46.5,286.8,-21.0,422.7,1374818,2614122,56,8634.8,4848.6,3700.9
48.5,286.8,-21.0,422.6,1374818,2614122,56,9085.5,5137.8,2927.3
50.6,286.8,-21.0,422.6,1374818,2614122,56,8884.5,4997.1,1977.3
52.6,286.8,-21.0,422.4,1374818,2614122,56,8728.9,4892.2,2111.6
54.7,286.8,-21.0,421.5,1374818,2614122,56,8604.9,4752.8,3713.5
56.7,286.8,-21.0,421.2,1374818,2614122,56,8613.7,4753.8,3713.5
58.7,286.8,-21.0,421.1,1374818,2614122,56,8605.6,4768.1,3713.5
60.7,286.8,-21.0,421.0,1374818,2614122,56,8596.6,4765.3,3713.5
62.7,286.8,-21.0,420.9,1374818,2614122,56,8421.2,3960.2,3889.6
64.7,286.8,-21.0,420.9,1374818,2614122,56,8588.6,4789.6,3713.5
66.8,286.8,-21.0,420.9,1374818,2614122,56,8599.5,4766.3,3713.5
68.8,286.8,-21.0,420.9,1374818,2614122,56,8599.3,4766.5,3713.5
70.8,286.8,-21.0,420.8,1374818,2614122,56,8612.9,4759.6,3713.6
72.8,286.8,-21.0,420.2,1374822,2614122,56,8575.0,4766.4,3713.6
74.8,286.8,-21.0,420.2,1374822,2614122,56,9034.5,5166.5,3135.0
76.9,286.8,-21.0,420.2,1374822,2614122,56,8575.1,4818.5,3486.1
78.9,286.8,-21.0,420.0,1374822,2614122,56,8574.3,4712.2,3713.6
80.9,286.8,-21.0,419.9,1374822,2614122,56,8570.4,4779.4,3713.6
82.9,286.8,-21.0,419.7,1374822,2614122,56,8527.7,4855.2,3713.6
84.9,286.8,-21.0,419.6,1374822,2614122,56,8326.4,4787.8,3713.6
87.0,286.8,-21.0,419.5,1374822,2614122,56,8332.0,4836.3,3713.7
89.0,286.8,-21.0,419.5,1374822,2614122,56,8351.1,4978.1,3713.7
91.0,286.8,-21.0,419.5,1374822,2614122,56,8357.4,4909.9,3713.7
93.0,286.8,-21.0,419.5,1374822,2614122,56,8532.6,4542.3,1953.5
95.0,286.8,-21.0,419.4,1374822,2614122,56,8365.8,4957.9,3713.8
97.1,286.8,-21.0,419.4,1374822,2614122,56,8378.9,4988.8,3713.8
99.1,286.8,-21.0,419.5,1374826,2614122,56,8445.1,4871.1,3713.8
101.1,286.8,-21.0,419.3,1374826,2614122,56,8444.7,4830.8,3713.8
103.1,286.8,-21.0,419.7,1374862,2614122,56,8433.7,4851.5,3713.8
105.1,286.8,-21.0,419.7,1374862,2614122,56,8341.2,5023.3,3713.8
107.2,286.8,-21.0,419.7,1374862,2614122,56,8364.4,4910.1,3713.8
109.2,286.8,-21.0,419.6,1374862,2614122,56,8345.3,4954.4,3713.8
111.2,286.8,-21.0,419.6,1374862,2614122,56,8820.9,5329.1,3302.5
113.2,286.8,-21.0,419.8,1374874,2614122,56,8174.3,4866.8,3713.8
115.3,278.8,-29.0,444.4,1375125,2614122,56,8205.9,5086.1,3732.2
117.3,278.8,-29.0,741.3,1375185,2614122,56,8043.5,4761.4,3732.3
119.3,278.8,-29.0,1286.5,1375273,2614122,56,7619.1,4462.7,3732.2
121.3,278.8,-29.0,1300.6,1375277,2614122,56,7802.1,4397.2,3732.3
123.4,278.8,-29.0,1585.5,1375421,2614122,56,6649.8,3791.2,5206.4
125.4,278.8,-29.0,1584.3,1375469,2614122,56,6642.5,4128.6,5206.7
127.4,278.8,-29.0,1599.1,1375469,2614122,56,6476.2,3933.5,5209.3
