t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,278.8,0.0,506.5,1375548,2614122,0,6984.7,4985.4,14.3
2.0,278.8,0.0,506.3,1375548,2614122,0,7841.7,6306.5,1391.2
4.1,278.8,0.0,636.0,1375548,2614122,0,7149.2,4040.3,4888.6
6.1,278.8,0.0,645.1,1375552,2614122,0,7402.2,4713.5,4712.2
8.1,278.8,0.0,758.0,1375552,2614122,0,7617.9,4937.1,4712.4
10.1,278.8,0.0,1061.0,1375552,2614122,0,7949.4,4603.7,2396.3
12.2,278.8,0.0,1089.1,1375552,2614122,0,7619.7,4154.7,4712.2
14.2,278.8,0.0,1088.3,1375552,2614122,0,7601.7,4180.0,4712.2
16.2,278.8,0.0,1087.6,1375552,2614122,0,7615.5,4183.8,4712.2
18.2,278.8,0.0,1087.1,1375552,2614122,0,7613.8,4300.9,4712.4
20.2,278.8,0.0,1087.0,1375552,2614122,0,7601.4,4611.8,4712.7
22.3,278.8,0.0,1087.0,1375552,2614122,0,8087.3,4523.2,3832.1
24.3,278.8,0.0,1115.6,1375552,2614122,0,7641.4,4118.2,4712.8
26.3,278.8,0.0,1115.5,1375552,2614122,0,7640.7,4141.5,4712.8
28.3,278.8,0.0,1137.1,1375552,2614122,0,7641.3,4127.8,4713.0
30.3,278.8,0.0,1137.0,1375552,2614122,0,7638.0,4547.3,4713.0
32.4,278.8,0.0,1131.1,1375552,2614122,0,7630.7,4260.7,2530.4
34.4,278.8,0.0,1130.9,1375552,2614122,0,7649.6,4111.0,4713.0
36.4,278.8,0.0,1130.9,1375552,2614122,0,7651.6,4125.8,4713.1
38.5,278.8,0.0,1130.6,1375552,2614122,0,7646.2,4151.1,4713.1
40.5,278.8,0.0,1124.4,1375552,2614122,0,7623.9,4135.8,4713.1
42.5,278.8,0.0,1126.3,1375552,2614122,0,7617.2,4596.6,4713.2
44.5,278.8,0.0,1243.9,1375552,2614122,0,7938.5,4557.2,3743.8
46.5,278.8,0.0,1309.3,1375552,2614122,0,7530.7,4030.5,4713.2
48.6,278.8,0.0,1337.0,1375552,2614122,0,7530.6,3920.8,4713.2
50.6,278.8,0.0,1336.1,1375552,2614122,0,7718.4,3861.9,4713.2
52.6,278.8,0.0,632.8,1375552,2614122,0,7513.8,3708.5,4893.3
54.6,278.8,0.0,701.3,1375552,2614122,0,7811.4,4833.8,4716.6
56.7,278.8,0.0,780.4,1375552,2614122,0,7725.8,4767.8,4046.3
58.7,278.8,0.0,901.0,1375552,2614122,0,8149.3,4578.9,3836.1
60.7,278.8,0.0,985.2,1375552,2614122,0,7664.3,4192.7,4716.7
62.7,278.8,0.0,1016.6,1375552,2614122,0,7667.1,4174.6,4716.7
64.7,278.8,0.0,1023.1,1375552,2614122,0,7628.4,4196.7,4716.7
66.8,278.8,0.0,1093.0,1375552,2614122,0,7571.1,4069.3,4716.7
68.8,278.8,0.0,1172.4,1375552,2614122,0,7585.7,4173.5,4716.7
70.8,278.8,0.0,1282.6,1375552,2614122,0,7541.8,4540.8,4716.7
72.8,270.8,-8.0,1298.6,1375620,2614122,0,7703.2,4168.7,2384.3
74.9,270.8,-8.0,1298.6,1375628,2614122,0,8062.4,4263.5,4584.3
76.9,270.8,-8.0,1289.8,1375636,2614122,0,7620.6,4047.6,4716.8
78.9,270.8,-8.0,1289.3,1375640,2614122,0,7637.0,4007.4,4716.8
80.9,270.8,-8.0,1289.1,1375640,2614122,0,7628.8,4056.3,4716.8
