t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,214.8,0.0,1484.3,1379261,2614122,0,6379.9,4746.1,14.9
2.0,214.8,0.0,1484.1,1379261,2614122,0,6583.0,5328.9,708.3
4.1,214.8,0.0,1572.7,1379261,2614122,0,6980.5,4229.4,4026.1
6.1,214.8,0.0,1596.8,1379261,2614122,0,7267.4,4372.8,3968.4
8.1,214.8,0.0,1607.1,1379261,2614122,0,7206.7,4546.8,3968.5
10.1,214.8,0.0,1832.9,1379261,2614122,0,7226.8,4236.1,3968.2
12.1,214.8,0.0,1902.0,1379261,2614122,0,7245.2,4240.5,3968.3
14.2,214.8,0.0,1903.6,1379261,2614122,0,7212.4,4109.8,3968.3
16.2,214.8,0.0,1927.5,1379261,2614122,0,7229.5,4257.4,3968.3
18.2,214.8,0.0,1936.5,1379261,2614122,0,7156.9,4066.6,3968.3
20.3,214.8,0.0,1930.3,1379261,2614122,0,7237.1,4165.6,3968.6
22.3,214.8,0.0,1951.7,1379261,2614122,0,7233.1,4183.7,3968.8
24.3,214.8,0.0,1951.5,1379261,2614122,0,7237.0,4112.3,3968.8
26.3,214.8,0.0,1589.2,1379261,2614122,0,7236.8,3930.1,4027.6
28.4,214.8,0.0,1835.4,1379261,2614122,0,7230.7,4251.6,4021.7
30.4,214.8,0.0,1820.9,1379261,2614122,0,7272.4,4402.0,3971.3
32.4,214.8,0.0,1902.6,1379261,2614122,0,7266.1,4170.4,3971.3
34.4,214.8,0.0,1902.1,1379261,2614122,0,7265.6,4343.9,3971.3
36.4,214.8,0.0,1902.1,1379261,2614122,0,7264.1,4098.3,3971.5
38.5,214.8,0.0,1901.1,1379261,2614122,0,7270.6,4176.1,3971.5
40.5,214.8,0.0,1901.1,1379261,2614122,0,7273.7,4083.0,3971.5
42.5,214.8,0.0,1901.1,1379261,2614122,0,7254.3,4201.7,3971.5
44.5,214.8,0.0,1930.8,1379261,2614122,0,7263.1,4072.8,3971.5
46.5,214.8,0.0,1930.6,1379261,2614122,0,7262.7,4147.4,3971.5
48.6,214.8,0.0,1930.6,1379261,2614122,0,7224.7,4074.7,3971.6
50.6,214.8,0.0,1585.3,1379261,2614122,0,7203.9,4527.5,4025.1
52.6,214.8,0.0,1796.3,1379261,2614122,0,7282.1,4297.5,3972.1
54.6,214.8,0.0,1877.1,1379261,2614122,0,7280.1,4118.0,3972.1
56.7,214.8,0.0,1876.8,1379261,2614122,0,7261.3,4103.1,3972.1
58.7,214.8,0.0,1874.1,1379261,2614122,0,7275.6,4171.8,3972.1
60.7,214.8,0.0,1874.1,1379261,2614122,0,7270.7,4279.3,3972.1
62.7,214.8,0.0,1874.1,1379261,2614122,0,7280.7,4146.8,3972.1
64.7,214.8,0.0,1902.1,1379261,2614122,0,7274.3,4260.6,3972.1
66.8,214.8,0.0,1902.1,1379261,2614122,0,7283.5,4104.7,3972.1
68.8,214.8,0.0,1902.1,1379261,2614122,0,7281.8,4278.6,3972.1
70.8,214.8,0.0,1902.1,1379261,2614122,0,7286.1,4123.9,3972.1
72.8,214.8,0.0,1582.4,1379261,2614122,0,7238.0,3715.7,4028.8
74.8,214.8,0.0,1845.0,1379261,2614122,0,7295.8,4210.6,3972.2
76.9,214.8,0.0,1843.8,1379261,2614122,0,7307.9,4246.9,3972.2
78.9,214.8,0.0,1843.4,1379261,2614122,0,7247.3,4162.2,3972.2
80.9,214.8,0.0,1843.3,1379261,2614122,0,7319.3,4225.0,3972.2
82.9,214.8,0.0,1843.3,1379261,2614122,0,7329.1,4272.0,3972.2
85.0,214.8,0.0,1842.3,1379261,2614122,0,7330.6,4244.3,3972.2
87.0,214.8,0.0,1841.6,1379261,2614122,0,7342.8,4260.2,3972.2
89.0,214.8,0.0,1841.6,1379261,2614122,0,7336.2,4214.7,3972.2
91.0,214.8,0.0,1841.5,1379261,2614122,0,7340.2,4261.9,3972.2
93.0,214.8,0.0,1841.5,1379261,2614122,0,7339.1,4216.9,3972.2
95.1,214.8,0.0,1841.5,1379261,2614122,0,7344.7,4401.4,3972.2
97.1,214.8,0.0,2180.2,1379261,2614122,0,5649.3,4385.7,4655.1
99.1,214.8,0.0,2179.1,1379261,2614122,0,5649.8,4405.1,4426.0
101.1,214.8,0.0,2162.9,1379261,2614122,0,5651.1,4453.0,2169.9
