t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,214.8,0.0,1372.8,1379389,2614122,0,8148.2,5533.3,15.4
2.1,214.8,0.0,1372.7,1379389,2614122,0,7949.1,6505.4,1146.0
4.1,214.8,0.0,1532.8,1379389,2614122,0,6298.3,3899.2,4628.4
6.1,214.8,0.0,1627.6,1379389,2614122,0,6636.9,4832.3,4425.4
8.1,214.8,0.0,2251.0,1379389,2614122,0,6629.0,4003.3,4425.6
10.2,214.8,0.0,2362.8,1379389,2614122,0,6601.7,4120.7,4425.1
12.2,214.8,0.0,2485.8,1379389,2614122,0,6547.8,3824.0,4425.3
14.2,214.8,0.0,2503.5,1379389,2614122,0,6621.1,3973.3,4425.5
16.2,214.8,0.0,2503.2,1379389,2614122,0,6616.3,3758.6,4425.6
18.3,214.8,0.0,2498.7,1379389,2614122,0,6633.4,3938.6,4425.6
20.3,214.8,0.0,2498.3,1379389,2614122,0,6623.7,3743.5,4425.7
22.3,214.8,0.0,2506.5,1379389,2614122,0,6665.7,3899.1,4425.8
24.3,214.8,0.0,2505.8,1379389,2614122,0,6676.9,3700.2,4425.8
26.4,214.8,0.0,2506.6,1379389,2614122,0,6679.1,3914.1,4425.8
28.4,214.8,0.0,1816.6,1379389,2614122,0,6712.3,4425.6,4431.3
30.4,214.8,0.0,2312.3,1379389,2614122,0,6672.0,4064.1,4431.3
32.4,214.8,0.0,2331.8,1379389,2614122,0,6678.4,3978.2,4431.5
34.5,214.8,0.0,2332.8,1379389,2614122,0,6662.9,4048.5,4431.5
36.5,214.8,0.0,2439.0,1379389,2614122,0,6665.1,3903.6,4431.5
38.5,214.8,0.0,2438.8,1379389,2614122,0,6686.3,3941.8,4431.5
40.5,214.8,0.0,2441.8,1379389,2614122,0,6669.8,3883.7,4431.6
42.6,214.8,0.0,2441.7,1379389,2614122,0,6651.8,4029.1,4431.7
44.6,214.8,0.0,2504.5,1379389,2614122,0,6661.9,3924.7,4431.8
46.6,214.9,0.1,2503.6,1379389,2614130,8,6664.2,3876.7,4431.7
48.6,214.9,0.1,2511.1,1379389,2614130,8,6667.3,3913.3,4431.7
50.7,214.9,0.1,1569.8,1379389,2614130,8,6702.4,4712.7,4389.7
52.7,214.9,0.1,2081.2,1379389,2614130,8,6714.8,4464.8,4389.2
54.7,214.9,0.1,2358.4,1379389,2614130,8,6733.9,3957.2,4389.2
56.7,214.9,0.1,2358.2,1379389,2614130,8,6738.1,4140.4,4389.2
58.8,214.9,0.1,2409.4,1379389,2614130,8,6729.5,3909.1,4389.2
60.8,214.9,0.1,2409.4,1379389,2614130,8,6725.9,4123.2,4389.4
62.8,214.9,0.1,2423.5,1379389,2614130,8,6725.7,3886.4,4389.4
64.8,214.9,0.1,2423.5,1379389,2614130,8,6705.6,4114.4,4389.4
66.9,214.9,0.1,2447.1,1379389,2614130,8,6705.8,3875.7,4389.4
68.9,214.9,0.1,2446.9,1379389,2614130,8,6692.5,3925.9,4389.4
70.9,214.9,0.1,2471.9,1379389,2614130,8,6681.9,3720.0,4389.4
72.9,214.9,0.1,1571.9,1379389,2614130,8,6646.1,4070.6,4389.9
75.0,214.9,0.1,2083.6,1379389,2614130,8,6740.5,4057.5,4389.4
77.0,214.9,0.1,2286.7,1379389,2614130,8,6691.7,4143.4,4389.4
79.0,214.9,0.1,2324.3,1379389,2614130,8,6674.9,3913.1,4389.4
81.0,214.9,0.1,2412.8,1379389,2614130,8,6703.0,4007.4,4389.4
83.1,214.9,0.1,2439.8,1379389,2614130,8,6719.1,3954.2,4389.4
85.1,214.9,0.1,2442.0,1379389,2614130,8,6638.5,4021.9,4389.4
87.1,214.9,0.1,2447.2,1379389,2614130,8,6607.6,4004.7,4390.3
89.2,214.9,0.1,2438.7,1379389,2614130,8,6658.1,3965.4,4390.3
91.2,214.9,0.1,2467.6,1379389,2614130,8,6720.9,3906.5,4390.5
93.2,214.9,0.1,2467.5,1379389,2614130,8,6685.5,3898.0,4390.3
95.2,214.9,0.1,2447.0,1379389,2614130,8,6668.2,4121.8,4373.6
97.3,214.9,0.1,2735.5,1379389,2614130,8,4971.7,4392.3,4962.4
99.3,214.9,0.1,2775.3,1379389,2614130,8,4938.9,4371.0,5041.4
101.3,214.9,0.1,2780.0,1379389,2614130,8,4906.0,4473.8,2631.0
