t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,0.0,0,0,0,8554.6,1689.0,12.0
2.0,0.0,0.0,0.0,0,0,0,9021.6,1807.4,106.6
4.0,0.0,0.0,0.0,0,0,0,9552.2,1867.6,159.2
6.1,0.0,0.0,0.0,0,0,0,9639.1,2009.8,296.8
8.1,0.0,0.0,0.0,0,0,0,10525.3,3192.0,1472.2
10.1,0.0,0.0,4.2,0,0,0,8259.8,2840.0,1618.2
12.1,0.0,0.0,11.2,0,0,0,8837.6,3167.9,3807.2
14.1,0.0,0.0,11.2,0,0,0,9223.6,3146.3,3807.2
16.2,0.0,0.0,11.2,0,0,0,8934.2,3141.5,3807.2
18.2,0.0,0.0,11.2,0,0,0,8891.3,3531.9,4169.8
20.2,0.0,0.0,11.2,0,0,0,8813.2,3124.0,3807.2
22.2,0.0,0.0,11.2,0,0,0,8824.2,3122.3,3807.1
24.2,0.0,0.0,11.2,0,0,0,9251.7,3118.8,3807.1
26.3,0.0,0.0,11.2,0,0,0,9204.1,3214.9,3958.6
28.3,0.0,0.0,11.2,0,0,0,9186.3,3118.6,3807.1
30.3,0.0,0.0,11.2,0,0,0,8834.0,3119.5,3807.1
32.3,0.0,0.0,11.4,0,0,0,8771.6,2627.1,3231.3
34.3,0.0,0.0,11.4,0,0,0,8823.4,3120.7,3809.4
36.4,0.0,0.0,11.4,0,0,0,8834.1,3120.4,3809.4
38.4,0.0,0.0,11.4,0,0,0,9262.2,3120.4,3809.4
40.4,0.0,0.0,11.4,0,0,0,9264.8,3452.6,2064.8
42.4,0.0,0.0,11.4,0,0,0,9202.9,3120.0,3809.4
44.4,0.0,0.0,11.4,0,0,0,8937.2,3119.3,3809.4
46.5,0.0,0.0,11.4,0,0,0,8844.2,3382.0,3507.5
48.5,0.0,0.0,11.4,0,0,0,8848.5,3118.8,3809.4
50.5,0.0,0.0,11.4,0,0,0,8856.3,3118.8,3809.4
52.5,0.0,0.0,11.4,0,0,0,9107.0,2304.9,3980.8
54.5,0.0,0.0,11.4,0,0,0,9018.0,3304.5,3953.8
56.6,0.0,0.0,11.4,0,0,0,8845.7,3119.3,3809.4
58.6,0.0,0.0,11.4,0,0,0,9288.2,3119.2,3809.4
60.6,0.0,0.0,11.4,0,0,0,9338.2,3477.8,3230.9
62.6,0.0,0.0,11.4,0,0,0,9249.5,3119.3,3809.4
64.6,0.0,0.0,11.4,0,0,0,9023.9,3119.2,3809.4
66.6,0.0,0.0,11.4,0,0,0,8892.8,3118.7,3809.4
68.7,0.0,0.0,11.4,0,0,0,8883.0,3171.0,3784.5
70.7,0.0,0.0,11.4,0,0,0,8817.0,3176.0,3809.4
72.7,0.0,0.0,11.4,0,0,0,9256.2,3165.1,3809.4
74.7,0.0,0.0,11.5,0,0,0,9095.0,2341.9,3980.8
76.7,0.0,0.0,11.5,0,0,0,9280.0,3152.0,3809.4
78.8,0.0,0.0,11.5,0,0,0,8909.2,3579.1,4214.4
80.8,0.0,0.0,11.5,0,0,0,8869.6,3134.7,3809.4
82.8,0.0,0.0,11.5,0,0,0,9309.0,3122.4,3809.4
84.8,0.0,0.0,11.5,0,0,0,9324.0,3120.9,3809.4
86.8,0.0,0.0,11.5,0,0,0,9336.5,3126.6,3774.9
88.8,0.0,0.0,11.5,0,0,0,9209.7,3118.8,3809.4
90.9,0.0,0.0,11.5,0,0,0,9177.9,3118.6,3809.4
92.9,0.0,0.0,11.5,0,0,0,9129.2,3340.7,4124.9
94.9,0.0,0.0,11.5,0,0,0,8906.5,3118.2,3809.4
97.0,0.0,0.0,11.9,0,0,0,7791.6,3261.5,5323.7
99.0,0.0,0.0,11.9,0,0,0,7791.6,3263.3,5312.7
101.0,0.0,0.0,11.9,0,0,0,7791.6,3264.7,5310.0
