t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,11.8,0,0,0,9824.6,1533.1,13.3
2.0,0.0,0.0,11.8,0,0,0,10937.4,3055.4,1552.4
4.0,0.0,0.0,11.8,0,0,0,9339.2,2094.1,3923.1
6.1,0.0,0.0,11.8,0,0,0,9414.1,2898.1,3750.8
8.1,0.0,0.0,11.8,0,0,0,9437.8,3269.8,3172.3
10.1,0.0,0.0,11.8,0,0,0,9199.7,2955.0,3750.3
12.1,0.0,0.0,11.8,0,0,0,9001.8,2944.3,3750.3
14.1,0.0,0.0,11.8,0,0,0,9021.2,2935.5,3750.3
16.1,0.0,0.0,11.8,0,0,0,9200.7,3214.2,3980.3
18.2,0.0,0.0,11.8,0,0,0,8774.8,2942.8,3750.3
20.2,0.0,0.0,11.8,0,0,0,8712.6,2907.6,3750.3
22.2,0.0,0.0,11.8,0,0,0,8745.3,3356.8,4155.6
24.2,0.0,0.0,11.8,0,0,0,9134.3,2904.1,3750.3
26.2,0.0,0.0,11.8,0,0,0,9137.5,2906.2,3752.5
28.3,0.0,0.0,11.8,0,0,0,9083.1,2906.0,3752.4
30.3,0.0,0.0,11.8,0,0,0,8996.4,3004.6,3810.2
32.3,0.0,0.0,11.8,0,0,0,8680.3,2906.0,3752.5
34.3,0.0,0.0,11.8,0,0,0,8708.0,2929.3,3752.5
36.3,0.0,0.0,11.8,0,0,0,8777.0,3310.6,4094.0
38.3,0.0,0.0,11.8,0,0,0,8682.1,2931.9,3752.4
40.4,0.0,0.0,11.8,0,0,0,8684.7,2930.6,3752.4
42.4,0.0,0.0,11.8,0,0,0,8719.7,3391.3,4125.0
44.4,0.0,0.0,11.8,0,0,0,8693.6,2930.0,3752.4
46.4,0.0,0.0,11.8,0,0,0,8635.4,2117.4,3753.0
48.4,0.0,0.0,11.8,0,0,0,8674.7,3252.7,3173.9
50.5,0.0,0.0,11.8,0,0,0,8683.5,2931.8,3752.4
52.5,0.0,0.0,11.8,0,0,0,8680.3,2931.9,3752.4
54.5,0.0,0.0,11.8,0,0,0,9132.0,2931.6,3752.4
56.5,0.0,0.0,11.8,0,0,0,9133.8,2974.5,3770.4
58.5,0.0,0.0,11.8,0,0,0,9141.4,2931.1,3752.5
60.6,0.0,0.0,11.8,0,0,0,9134.2,2930.5,3752.4
62.6,0.0,0.0,11.8,0,0,0,8979.7,3203.2,2455.1
64.6,0.0,0.0,11.8,0,0,0,9024.0,2930.2,3752.5
66.6,0.0,0.0,11.8,0,0,0,8890.2,2110.2,3923.9
68.6,0.0,0.0,11.8,0,0,0,8647.6,3299.4,3173.9
70.6,0.0,0.0,11.8,0,0,0,8639.8,2983.5,3752.5
72.7,0.0,0.0,11.8,0,0,0,8653.5,2972.8,3752.5
74.7,0.0,0.0,11.8,0,0,0,8653.3,2964.2,3752.5
76.7,0.0,0.0,11.8,0,0,0,8747.0,3034.1,3796.8
78.7,0.0,0.0,11.8,0,0,0,9090.2,2947.3,3752.4
80.7,0.0,0.0,11.8,0,0,0,9117.6,2931.3,3752.4
82.8,0.0,0.0,11.8,0,0,0,9228.1,3316.6,2101.8
84.8,0.0,0.0,11.8,0,0,0,9137.5,2935.6,3752.4
86.8,0.0,0.0,11.8,0,0,0,8915.6,2935.2,3752.4
88.8,0.0,0.0,11.8,0,0,0,7635.6,3065.2,5263.4
90.8,0.0,0.0,11.8,0,0,0,7621.9,3056.5,5255.8
92.9,0.0,0.0,11.8,0,0,0,7621.9,3057.9,5255.3
