t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,11.8,0,0,0,7608.2,1597.0,12.8
2.0,0.0,0.0,11.8,0,0,0,8238.7,2655.8,1069.6
4.0,0.0,0.0,19.1,0,0,0,8596.6,2155.6,4375.6
6.1,0.0,0.0,19.1,0,0,0,8701.5,2914.3,4222.2
8.1,0.0,0.0,19.1,0,0,0,8707.6,2905.0,4222.3
10.1,0.0,0.0,19.1,0,0,0,8717.3,2899.5,4219.7
12.1,0.0,0.0,19.1,0,0,0,8714.4,2892.8,4219.7
14.1,0.0,0.0,19.1,0,0,0,8720.2,2884.8,4219.7
16.2,0.0,0.0,19.1,0,0,0,8724.5,2880.3,4219.7
18.2,0.0,0.0,19.1,0,0,0,8724.7,2880.3,4219.7
20.2,0.0,0.0,19.1,0,0,0,8727.4,2880.6,4219.7
22.2,0.0,0.0,19.1,0,0,0,8728.8,2882.2,4219.7
24.2,0.0,0.0,19.1,0,0,0,8714.8,2886.1,4223.5
26.3,0.0,0.0,19.1,0,0,0,8721.2,2885.7,4222.9
28.3,0.0,0.0,19.1,0,0,0,8714.4,2885.5,4223.0
30.3,0.0,0.0,19.1,0,0,0,8722.1,2885.1,4223.0
32.3,0.0,0.0,19.1,0,0,0,8825.2,2884.7,4222.9
34.3,0.0,0.0,19.1,0,0,0,8729.5,2884.2,4223.0
36.4,0.0,0.0,19.1,0,0,0,8730.3,2883.4,4223.0
38.4,0.0,0.0,19.1,0,0,0,8726.4,2883.2,4223.0
40.4,0.0,0.0,19.1,0,0,0,8732.8,2883.1,4222.9
42.4,0.0,0.0,19.1,0,0,0,8825.6,2092.1,4223.4
44.4,0.0,0.0,19.1,0,0,0,8823.3,2883.3,4222.9
46.5,0.0,0.0,19.1,0,0,0,8818.3,2883.2,4222.9
48.5,0.0,0.0,19.1,0,0,0,8822.3,2883.1,4222.9
50.5,0.0,0.0,19.1,0,0,0,8816.9,2990.2,4222.9
52.5,0.0,0.0,19.1,0,0,0,8724.3,2990.2,4222.9
54.5,0.0,0.0,19.1,0,0,0,8729.3,3203.7,3722.5
56.5,0.0,0.0,19.1,0,0,0,8903.9,3293.8,3359.0
58.6,0.0,0.0,19.1,0,0,0,9086.4,3249.0,1967.4
60.6,0.0,0.0,19.1,0,0,0,8837.5,3042.6,1933.3
62.6,0.0,0.0,19.1,0,0,0,8753.2,2891.3,4222.9
64.6,0.0,0.0,19.1,0,0,0,8766.1,2930.6,4222.9
66.7,0.0,0.0,19.1,0,0,0,8681.3,2922.0,4222.9
68.7,0.0,0.0,19.1,0,0,0,8693.1,2917.5,4222.9
70.7,0.0,0.0,19.1,0,0,0,8793.7,2912.6,4220.9
72.7,0.0,0.0,19.1,0,0,0,8810.4,2898.0,4220.8
74.7,0.0,0.0,19.1,0,0,0,8745.9,2990.4,4220.8
76.7,0.0,0.0,19.1,0,0,0,8787.6,3284.3,3562.4
78.8,0.0,0.0,19.1,0,0,0,9154.2,3316.5,2188.5
80.8,0.0,0.0,19.1,0,0,0,7785.5,3021.6,5261.9
82.8,0.0,0.0,19.1,0,0,0,6576.3,3026.0,6456.0
84.8,0.0,0.0,19.1,0,0,0,6576.3,4123.0,6451.8
86.8,0.0,0.0,19.1,0,0,0,6576.3,3025.9,6449.7
88.9,0.0,0.0,19.1,0,0,0,6576.3,3025.8,6449.7
90.9,0.0,0.0,19.1,0,0,0,6115.8,2812.4,1631.8
