t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,19.1,0,0,0,9405.8,1544.3,12.6
2.0,0.0,0.0,19.1,0,0,0,10449.2,3093.3,1584.3
4.0,0.0,0.0,19.1,0,0,0,8958.1,2481.3,3141.6
6.1,0.0,0.0,19.1,0,0,0,9116.8,3229.2,3133.8
8.1,0.0,0.0,19.1,0,0,0,9115.4,2975.2,3454.8
10.1,0.0,0.0,19.1,0,0,0,9178.2,2920.8,3600.2
12.2,0.0,0.0,19.1,0,0,0,9271.2,3071.4,3802.1
14.2,0.0,0.0,19.1,0,0,0,9255.8,2639.6,3687.8
16.3,0.0,0.0,19.1,0,0,0,9119.7,3314.5,3909.5
18.3,0.0,0.0,19.1,0,0,0,9084.6,3361.8,3915.9
20.3,0.0,0.0,19.1,0,0,0,9116.2,3336.0,3915.9
22.3,0.0,0.0,19.1,0,0,0,9110.9,3333.7,3915.9
24.4,0.0,0.0,19.1,0,0,0,9124.7,3326.2,3915.9
26.4,0.0,0.0,19.1,0,0,0,9124.2,3326.1,3916.0
28.4,0.0,0.0,19.1,0,0,0,9122.5,3326.1,3915.9
30.4,0.0,0.0,19.1,0,0,0,9125.0,3328.6,3556.6
32.4,0.0,0.0,19.1,0,0,0,9121.2,2561.6,3705.4
34.5,0.0,0.0,19.1,0,0,0,9123.0,3350.1,3332.8
36.5,0.0,0.0,19.1,0,0,0,9124.5,3266.3,3082.5
38.5,0.0,0.0,19.1,0,0,0,9125.7,3266.2,3082.6
40.5,0.0,0.0,19.1,0,0,0,9127.2,3351.4,3031.9
42.5,0.0,0.0,19.1,0,0,0,7325.0,3494.9,5722.4
44.6,0.0,0.0,19.1,0,0,0,7312.9,3496.4,5715.6
46.6,0.0,0.0,19.1,0,0,0,7312.9,3498.0,5710.9
