t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,19.4,0,0,0,9858.1,1576.1,12.8
2.0,0.0,0.0,19.4,0,0,0,10011.6,2160.8,590.6
4.0,0.0,0.0,19.4,0,0,0,9127.5,2546.8,3284.8
6.1,0.0,0.0,19.4,0,0,0,8963.3,3008.9,4053.1
8.2,0.0,0.0,19.4,0,0,0,8982.6,3005.2,4053.1
10.2,0.0,0.0,19.4,0,0,0,8981.6,3002.7,4050.5
12.3,0.0,0.0,19.4,0,0,0,8971.3,3002.0,4050.5
14.3,0.0,0.0,19.4,0,0,0,8987.9,3004.1,4053.1
16.3,0.0,0.0,19.4,0,0,0,8987.8,3004.3,4052.6
18.4,0.0,0.0,19.4,0,0,0,8974.1,3004.5,4052.6
20.4,0.0,0.0,19.4,0,0,0,8983.4,3005.3,4052.6
22.4,0.0,0.0,19.4,0,0,0,8978.8,2107.2,4053.1
24.5,0.0,0.0,19.4,0,0,0,8988.6,3004.8,4052.7
26.5,0.0,0.0,19.4,0,0,0,8973.7,3004.7,4052.7
28.5,0.0,0.0,19.4,0,0,0,8981.7,3004.9,4052.7
30.6,0.0,0.0,19.4,0,0,0,8957.2,3004.1,4052.7
32.6,0.0,0.0,19.4,0,0,0,8964.4,3004.4,4052.7
34.7,0.0,0.0,19.4,0,0,0,8968.7,3004.5,4052.7
36.7,0.0,0.0,19.4,0,0,0,8983.4,3004.4,4052.7
38.7,0.0,0.0,19.4,0,0,0,8979.7,3003.9,4052.7
40.8,0.0,0.0,19.4,0,0,0,8979.0,3003.9,4052.7
42.8,0.0,0.0,19.4,0,0,0,7318.3,3503.2,5645.1
44.8,0.0,0.0,19.4,0,0,0,7318.4,3504.2,5716.3
46.8,0.0,0.0,19.4,0,0,0,7318.4,3505.8,5713.7
