t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,129.5,0,0,0,7734.2,421.0,11.8
2.0,0.0,0.0,129.5,0,0,0,8359.2,1439.6,1058.9
4.0,0.0,0.0,129.5,0,0,0,8399.9,983.3,5537.8
6.1,0.0,0.0,129.5,0,0,0,9025.7,1770.3,4922.9
8.1,0.0,0.0,129.5,0,0,0,9053.6,1743.0,4923.1
10.1,0.0,0.0,129.5,0,0,0,9055.0,1741.7,4920.2
12.1,0.0,0.0,129.5,0,0,0,9052.3,1740.7,4920.5
14.1,0.0,0.0,129.4,0,0,0,9059.4,1738.7,4920.3
16.2,0.0,0.0,129.4,0,0,0,9060.3,1738.9,4920.3
18.2,0.0,0.0,129.4,0,0,0,9055.6,936.8,4924.1
20.2,0.0,0.0,129.4,0,0,0,9059.6,1731.8,4923.8
22.2,0.0,0.0,129.4,0,0,0,9058.7,1739.7,4923.6
24.2,0.0,0.0,129.4,0,0,0,9054.3,1739.2,4923.6
26.3,0.0,0.0,129.4,0,0,0,9051.5,1738.8,4923.6
28.3,0.0,0.0,129.4,0,0,0,9053.2,1738.6,4923.6
30.3,0.0,0.0,129.4,0,0,0,9056.6,1738.3,4923.6
32.3,0.0,0.0,129.4,0,0,0,9173.0,943.8,4738.2
34.3,0.0,0.0,129.4,0,0,0,9157.8,1738.6,4658.6
36.3,0.0,0.0,129.4,0,0,0,9051.8,1738.7,4923.6
38.4,0.0,0.0,129.4,0,0,0,9050.9,1738.6,4923.8
40.4,0.0,0.0,129.4,0,0,0,9048.6,1738.7,4923.6
42.4,0.0,0.0,129.4,0,0,0,9060.2,1738.2,4923.6
44.4,0.0,0.0,129.4,0,0,0,9060.3,1738.1,4923.6
46.4,0.0,0.0,129.4,0,0,0,9174.4,943.9,4884.0
48.5,0.0,0.0,129.4,0,0,0,9053.1,1739.2,4923.6
50.5,0.0,0.0,129.4,0,0,0,9045.7,1738.9,4923.6
52.5,0.0,0.0,129.4,0,0,0,9045.5,1738.9,4923.6
54.5,0.0,0.0,129.4,0,0,0,9051.0,1738.6,4923.6
56.5,0.0,0.0,129.4,0,0,0,8985.0,1776.0,4923.6
58.6,0.0,0.0,129.4,0,0,0,9101.6,1795.6,4737.6
60.6,0.0,0.0,129.4,0,0,0,9005.8,1784.8,4923.6
62.6,0.0,0.0,129.4,0,0,0,7744.7,2841.4,6183.7
64.6,0.0,0.0,129.4,0,0,0,7395.6,2837.3,5543.1
66.6,0.0,0.0,129.4,0,0,0,7304.4,2832.5,6331.1
68.7,0.0,0.0,129.4,0,0,0,7286.6,2819.8,5384.7
70.7,0.0,0.0,129.4,0,0,0,7286.6,3117.0,6532.6
