t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,112.8,0,0,0,7184.7,544.1,11.9
2.0,0.0,0.0,112.8,0,0,0,7925.5,1686.7,1176.2
4.1,0.0,0.0,112.8,0,0,0,9326.9,1119.6,4547.2
6.1,0.0,0.0,112.3,0,0,0,9370.7,2061.4,4516.4
8.1,0.0,0.0,112.3,0,0,0,9372.6,2062.2,4514.0
10.1,0.0,0.0,112.3,0,0,0,9376.0,2060.4,4511.5
12.1,0.0,0.0,112.3,0,0,0,9391.9,1208.7,4500.7
14.2,0.0,0.0,112.3,0,0,0,9396.6,2045.1,4498.3
16.2,0.0,0.0,112.3,0,0,0,9398.4,2045.0,4498.1
18.2,0.0,0.0,112.3,0,0,0,9398.4,2043.9,4498.3
20.2,0.0,0.0,112.3,0,0,0,9500.4,1106.9,4399.7
22.3,0.0,0.0,112.3,0,0,0,9425.6,1939.5,4399.1
24.3,0.0,0.0,112.3,0,0,0,9427.6,1952.9,4398.9
26.3,0.0,0.0,112.3,0,0,0,9441.3,1996.0,4399.1
28.3,0.0,0.0,112.3,0,0,0,9473.0,1126.3,4400.0
30.3,0.0,0.0,112.3,0,0,0,9479.2,1959.2,4399.7
32.4,0.0,0.0,112.3,0,0,0,9488.3,1951.6,4399.4
34.4,0.0,0.0,112.3,0,0,0,9487.9,1947.9,4399.7
36.4,0.0,0.0,112.3,0,0,0,7707.1,2960.5,5089.7
38.4,0.0,0.0,112.3,0,0,0,7707.2,2962.0,5158.8
40.4,0.0,0.0,112.3,0,0,0,7707.2,2962.8,5155.4
