t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,113.0,0,0,0,7796.8,559.1,12.6
2.0,0.0,0.0,113.0,0,0,0,8511.9,1677.6,1152.6
4.0,0.0,0.0,113.0,0,0,0,8849.7,1123.2,629.4
6.1,0.0,0.0,113.0,0,0,0,9953.3,1566.2,3922.5
8.1,0.0,0.0,113.0,0,0,0,9186.6,2144.7,4595.7
10.1,0.0,0.0,113.0,0,0,0,9123.7,2202.2,4687.2
12.1,0.0,0.0,112.9,0,0,0,9051.7,2281.3,4763.9
14.1,0.0,0.0,112.9,0,0,0,8949.6,2365.8,4852.1
16.2,0.0,0.0,112.9,0,0,0,8872.0,2460.4,4943.9
18.2,0.0,0.0,112.9,0,0,0,8876.7,2457.3,4925.8
20.2,0.0,0.0,112.9,0,0,0,8877.5,2450.3,4923.3
22.2,0.0,0.0,112.9,0,0,0,8876.6,2451.4,4923.5
24.2,0.0,0.0,112.9,0,0,0,8879.8,2448.9,4921.4
26.3,0.0,0.0,112.9,0,0,0,8813.3,2438.1,4921.2
28.3,0.0,0.0,112.9,0,0,0,8816.5,2449.6,4923.7
30.3,0.0,0.0,112.9,0,0,0,8827.3,2487.8,4920.9
32.3,0.0,0.0,112.9,0,0,0,8834.9,2489.9,4918.9
34.3,0.0,0.0,112.9,0,0,0,8861.1,2467.6,4923.0
36.4,0.0,0.0,112.8,0,0,0,8875.8,2454.4,4923.0
38.4,0.0,0.0,112.8,0,0,0,8879.3,2456.4,4923.0
40.4,0.0,0.0,112.8,0,0,0,8879.2,2457.0,4923.3
42.4,0.0,0.0,112.8,0,0,0,8878.9,2457.1,4923.3
44.4,0.0,0.0,112.8,0,0,0,8871.8,2456.6,4923.1
46.5,0.0,0.0,112.8,0,0,0,8880.4,2454.8,4923.1
48.5,0.0,0.0,112.8,0,0,0,7175.8,3521.0,6544.3
50.5,0.0,0.0,112.8,0,0,0,7175.9,3523.0,6616.3
52.5,0.0,0.0,112.8,0,0,0,7175.9,3524.6,6613.6
