t_s,swap_used_mb,swap_delta_mb,compressor_mb,swapins,swapouts,swapouts_delta,filebacked_mb,anonymous_mb,child_footprint_mb
0.0,0.0,0.0,110.4,0,0,0,7770.3,617.6,11.9
2.0,0.0,0.0,110.4,0,0,0,9736.5,3091.4,2506.5
4.0,0.0,0.0,110.4,0,0,0,8811.2,1248.9,572.6
6.1,0.0,0.0,110.4,0,0,0,9207.9,1196.8,4622.3
8.1,0.0,0.0,110.4,0,0,0,9195.6,2131.5,4656.8
10.1,0.0,0.0,110.4,0,0,0,9104.3,2222.4,4748.1
12.1,0.0,0.0,110.4,0,0,0,9022.4,2312.9,4840.5
14.1,0.0,0.0,110.4,0,0,0,8912.5,2404.3,4947.9
16.2,0.0,0.0,110.4,0,0,0,8916.5,2390.7,4925.8
18.2,0.0,0.0,110.4,0,0,0,8925.9,2390.2,4925.3
20.2,0.0,0.0,110.4,0,0,0,8923.2,2387.7,4925.0
22.2,0.0,0.0,110.4,0,0,0,8922.0,2388.4,4925.2
24.2,0.0,0.0,110.4,0,0,0,8927.6,1538.6,4923.2
26.3,0.0,0.0,110.4,0,0,0,8934.9,2385.1,4922.9
28.3,0.0,0.0,110.4,0,0,0,8931.1,2386.0,4922.9
30.3,0.0,0.0,110.4,0,0,0,8926.5,2385.7,4922.9
32.3,0.0,0.0,110.4,0,0,0,8929.0,2385.9,4922.7
34.3,0.0,0.0,110.4,0,0,0,8932.0,2380.6,4923.5
36.4,0.0,0.0,110.4,0,0,0,8932.9,2379.9,4922.9
38.4,0.0,0.0,110.4,0,0,0,8933.2,2380.8,4922.9
40.4,0.0,0.0,110.4,0,0,0,8932.3,2384.2,4922.9
42.4,0.0,0.0,110.4,0,0,0,8397.5,2495.3,5456.0
44.4,0.0,0.0,110.4,0,0,0,7141.7,3467.3,5527.2
46.5,0.0,0.0,110.4,0,0,0,7141.7,3513.9,5598.2
48.5,0.0,0.0,110.4,0,0,0,7141.7,3504.1,5786.3
